local,ensino_secundario_completo,Edificios Concluidos,Vendas,Taxa_Criminalidade,retencao_desistencia_ensino_basico,Total_Pedidos_Residencia,empregada_por_conta_outrem_com_ensino_superior,taxa_bruta_escolarizacao_ensino_secundario,Densidade_alojamentos,ganho_mensal,Taxa de crescimento efetivo,Valor_Medio_Pensoes,Estabelecimentos,Saldo migratório,votos_por_partido_ou_coligacao_x,populacao_ativa,votos_por_partido_ou_coligacao_y,residente_empregada_estudante,valor_processado_IRS,num_estabelecimentos_ensino_nao_superior,Total_Crimes,Desemprego,Idade da população residente,taxa_de_abstenção,Volume de negócios,Duracao_Sub_desemprego,poder_de_compra,Sessões de espetáculos ao vivo,Pessoal ao serviço dos estabelecimentos ,Beneficiários_Abono_Familia,pop_empregada_outrem_escalão,Rendas,Bens imóveis,Valor médio dos bilhetes vendidos,Alojamentos,taxa_emprego,credito_habitacao_permanente,votos_nulos_assembleias_municipais,pop_inscrita_eleicoes_assembleias_municipais,Beneficiários_RSI_1000_habitantes,Despesas em bibliotecas e arquivos,Indice Renovacao,Densidade populacional,rendimento_bruto,matriculados_ensino_nao_superior
Marinha Grande,2.0,0.0,1.0,30.7,0.0,1477.0,1.0,2.0,0.0,2.0,2.15,7591.0,0.0,956.0,0.0,0.0,0.0,0.0,1224.0,0.0,1258.0,1796.0,26.7,2.0,0.0,158.0,1.0,0.0,0.0,3224.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.55,0.0,77.9,214.4,2.0,0.0
Marvão,0.0,0.0,,20.5,0.0,41.0,1.0,0.0,0.0,0.0,-0.43,5245.0,0.0,30.0,1.0,0.0,1.0,0.0,75.0,0.0,62.0,56.0,33.2,0.0,0.0,195.0,0.0,0.0,0.0,193.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23.93,0.0,55.7,19.6,0.0,0.0
Matosinhos,2.0,1.0,2.0,29.0,0.0,3472.0,2.0,1.0,1.0,2.0,1.35,7758.0,1.0,2861.0,0.0,2.0,0.0,1.0,7319.0,1.0,5202.0,6450.0,27.8,2.0,1.0,178.0,2.0,1.0,1.0,11639.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,36.84,1.0,70.0,2837.9,2.0,1.0
Mação,0.0,0.0,0.0,33.6,0.0,59.0,0.0,2.0,0.0,0.0,0.23,5150.0,0.0,128.0,2.0,0.0,2.0,0.0,114.0,0.0,215.0,111.0,36.5,0.0,0.0,176.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.41,0.0,54.6,16.0,0.0,0.0
Mealhada,1.0,0.0,0.0,25.3,0.0,233.0,1.0,1.0,0.0,1.0,0.83,5821.0,0.0,287.0,0.0,0.0,0.0,0.0,250.0,0.0,500.0,540.0,29.1,2.0,0.0,169.0,1.0,0.0,0.0,1254.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,11.65,0.0,68.9,177.3,1.0,0.0
Melgaço,0.0,0.0,0.0,41.7,0.0,61.0,1.0,1.0,0.0,0.0,-0.21,3963.0,0.0,134.0,1.0,0.0,1.0,0.0,84.0,0.0,317.0,72.0,39.8,2.0,0.0,206.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.05,0.0,48.9,32.0,0.0,0.0
Mesão Frio,0.0,0.0,,27.5,0.0,5.0,0.0,1.0,0.0,0.0,-0.83,4962.0,0.0,12.0,1.0,0.0,1.0,0.0,178.0,0.0,96.0,69.0,30.1,0.0,0.0,206.0,0.0,0.0,0.0,284.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.04,0.0,67.1,131.9,0.0,0.0
Mira,1.0,0.0,0.0,26.0,0.0,246.0,1.0,1.0,0.0,0.0,1.87,4867.0,0.0,327.0,2.0,0.0,2.0,0.0,165.0,0.0,326.0,293.0,29.6,1.0,0.0,152.0,0.0,0.0,0.0,797.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6,0.0,67.7,99.1,1.0,0.0
Miranda do Corvo,1.0,0.0,0.0,16.9,0.0,152.0,1.0,1.0,0.0,0.0,0.71,5359.0,0.0,218.0,0.0,0.0,0.0,0.0,229.0,0.0,205.0,248.0,29.4,1.0,0.0,159.0,0.0,0.0,0.0,801.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.23,0.0,65.5,95.2,1.0,0.0
Miranda do Douro,0.0,0.0,0.0,29.7,0.0,44.0,0.0,1.0,0.0,0.0,-0.87,4782.0,0.0,28.0,1.0,0.0,1.0,0.0,150.0,0.0,187.0,73.0,37.5,0.0,0.0,213.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.47,0.0,53.9,13.0,1.0,0.0
