local,codigo,Desemprego
Reguengos de Monsaraz,1870711,325.0
Vendas Novas,1870712,295.0
Viana do Alentejo,1870713,122.0
Vila Viçosa,1870714,195.0
Albufeira,1500801,5547.0
Alcoutim,1500802,37.0
Aljezur,1500803,186.0
Castro Marim,1500804,253.0
Faro,1500805,2357.0
Lagoa,1500806,1343.0
Lagos,1500807,1592.0
Loulé,1500808,3673.0
Monchique,1500809,116.0
Olhão,1500810,1513.0
Portimão,1500811,4021.0
São Brás de Alportel,1500812,254.0
Silves,1500813,2268.0
Tavira,1500814,923.0
Vila do Bispo,1500815,277.0
Vila Real de Santo António,1500816,1014.0
Angra do Heroísmo,2004301,1029.0
Calheta,2004501,79.0
Corvo,2004901,10.0
Horta,2004701,432.0
Lagoa,2004201,565.0
Lajes das Flores,2004801,91.0
Lajes do Pico,2004601,201.0
Madalena,2004602,203.0
Nordeste,2004202,380.0
Ponta Delgada,2004203,1921.0
Povoação,2004204,508.0
Ribeira Grande,2004205,1303.0
Santa Cruz da Graciosa,2004401,176.0
Santa Cruz das Flores,2004802,97.0
São Roque do Pico,2004603,115.0
Velas,2004502,181.0
Vila da Praia da Vitória,2004302,498.0
Vila do Porto,2004101,267.0
Vila Franca do Campo,2004206,486.0
Calheta,3003101,222.0
Câmara de Lobos,3003102,877.0
Funchal,3003103,3154.0
Machico,3003104,810.0
Ponta do Sol,3003105,201.0
Porto Moniz,3003106,69.0
Porto Santo,3003201,304.0
Ribeira Brava,3003107,335.0
Santa Cruz,3003108,1260.0
Santana,3003109,159.0
São Vicente,3003110,104.0
