local,codigo,Indice Renovacao
Évora,1870705,72.1
Montemor-o-Novo,1870706,67.0
Mora,1870707,60.6
Mourão,1870708,78.2
Portel,1870709,71.7
Redondo,1870710,71.3
Reguengos de Monsaraz,1870711,67.2
Vendas Novas,1870712,81.1
Viana do Alentejo,1870713,75.5
Vila Viçosa,1870714,57.2
Albufeira,1500801,78.0
Alcoutim,1500802,64.7
Aljezur,1500803,59.2
Castro Marim,1500804,68.6
Faro,1500805,80.7
Lagoa,1500806,72.0
Lagos,1500807,67.6
Loulé,1500808,70.0
Monchique,1500809,44.5
Olhão,1500810,75.0
Portimão,1500811,81.6
São Brás de Alportel,1500812,69.5
Silves,1500813,68.3
Tavira,1500814,60.0
Vila do Bispo,1500815,56.8
Vila Real de Santo António,1500816,75.1
Angra do Heroísmo,2004301,79.0
Calheta,2004501,74.9
Corvo,2004901,79.3
Horta,2004701,73.7
Lagoa,2004201,105.0
Lajes das Flores,2004801,70.7
Lajes do Pico,2004601,66.9
Madalena,2004602,80.5
Nordeste,2004202,75.3
Ponta Delgada,2004203,90.0
Povoação,2004204,80.6
Ribeira Grande,2004205,115.7
Santa Cruz da Graciosa,2004401,76.1
Santa Cruz das Flores,2004802,75.4
São Roque do Pico,2004603,67.1
Velas,2004502,68.2
Vila da Praia da Vitória,2004302,73.4
Vila do Porto,2004101,87.4
Vila Franca do Campo,2004206,90.5
Calheta,3003101,62.9
Câmara de Lobos,3003102,91.0
Funchal,3003103,64.8
Machico,3003104,66.6
Ponta do Sol,3003105,75.7
Porto Moniz,3003106,64.9
Porto Santo,3003201,61.0
Ribeira Brava,3003107,79.5
Santa Cruz,3003108,74.8
Santana,3003109,58.1
São Vicente,3003110,61.9
