local,codigo,Taxa de crescimento efetivo
Serpa,1840213,-0.1
Vidigueira,1840214,-0.23
Almeirim,1851403,1.01
Alpiarça,1851404,1.62
Azambuja,1851103,2.51
Benavente,1851405,2.28
Cartaxo,1851406,1.5
Chamusca,1851407,-0.34
Coruche,1851409,-0.05
Golegã,1851412,0.46
Rio Maior,1851414,1.64
Salvaterra de Magos,1851415,2.05
Santarém,1851416,1.11
Alter do Chão,1861201,0.5
Arronches,1861202,-0.29
Avis,1861203,0.47
Campo Maior,1861204,-0.5
Castelo de Vide,1861205,-0.41
Crato,1861206,0.4
Elvas,1861207,-0.2
Fronteira,1861208,1.12
Gavião,1861209,-1.11
Marvão,1861210,-0.43
Monforte,1861211,0.9
Nisa,1861212,-0.68
Ponte de Sor,1861213,-0.06
Portalegre,1861214,-0.63
Sousel,1861215,0.16
Alandroal,1870701,-0.26
Arraiolos,1870702,0.5
Borba,1870703,-0.08
Estremoz,1870704,-0.61
Évora,1870705,0.28
Montemor-o-Novo,1870706,0.35
Mora,1870707,-0.53
Mourão,1870708,1.16
Portel,1870709,0.02
Redondo,1870710,0.41
Reguengos de Monsaraz,1870711,0.41
Vendas Novas,1870712,0.75
Viana do Alentejo,1870713,0.71
Vila Viçosa,1870714,-0.3
Albufeira,1500801,2.15
Alcoutim,1500802,-1.85
Aljezur,1500803,1.65
Castro Marim,1500804,1.61
Faro,1500805,0.79
Lagoa,1500806,1.67
Lagos,1500807,1.18
Loulé,1500808,1.11
Monchique,1500809,-0.75
Olhão,1500810,0.5
Portimão,1500811,1.44
São Brás de Alportel,1500812,0.93
Silves,1500813,1.38
Tavira,1500814,0.68
Vila do Bispo,1500815,0.98
Vila Real de Santo António,1500816,0.83
Angra do Heroísmo,2004301,-0.37
Calheta,2004501,-0.57
Corvo,2004901,0.23
Horta,2004701,0.21
Lagoa,2004201,1.32
Lajes das Flores,2004801,0.49
Lajes do Pico,2004601,0.41
Madalena,2004602,0.74
Nordeste,2004202,-0.05
Ponta Delgada,2004203,0.55
Povoação,2004204,-0.26
Ribeira Grande,2004205,0.74
Santa Cruz da Graciosa,2004401,-0.29
Santa Cruz das Flores,2004802,1.39
São Roque do Pico,2004603,1.57
Velas,2004502,0.02
Vila da Praia da Vitória,2004302,0.37
Vila do Porto,2004101,-0.13
Vila Franca do Campo,2004206,0.1
Calheta,3003101,1.69
Câmara de Lobos,3003102,1.12
Funchal,3003103,0.52
Machico,3003104,0.23
Ponta do Sol,3003105,1.98
Porto Moniz,3003106,1.11
Porto Santo,3003201,3.7
Ribeira Brava,3003107,1.67
Santa Cruz,3003108,1.47
Santana,3003109,0.48
São Vicente,3003110,2.13
