local,codigo,Idade da população residente
Grândola,1C11505,28.3
Odemira,1C10211,29.2
Santiago do Cacém,1C11509,29.8
Sines,1C11513,25.7
Aljustrel,1C20201,29.2
Almodôvar,1C20202,30.8
Alvito,1C20203,26.3
Barrancos,1C20204,26
Beja,1C20205,25
Castro Verde,1C20206,28.2
Cuba,1C20207,26.3
Ferreira do Alentejo,1C20208,28.4
Mértola,1C20209,36.8
Moura,1C20210,23.7
Ourique,1C20212,32.1
Serpa,1C20213,28.9
Vidigueira,1C20214,27
Alter do Chão,1C31201,29.1
Arronches,1C31202,30.4
Avis,1C31203,30.4
Campo Maior,1C31204,24.3
Castelo de Vide,1C31205,33.6
Crato,1C31206,34.5
Elvas,1C31207,25.3
Fronteira,1C31208,31.5
Gavião,1C31209,38.9
Marvão,1C31210,33.2
Monforte,1C31211,25.1
Nisa,1C31212,37.7
Ponte de Sor,1C31213,29.8
Portalegre,1C31214,28.3
Sousel,1C31215,29.2
Alandroal,1C40701,32.6
Arraiolos,1C40702,29.3
Borba,1C40703,29.5
Estremoz,1C40704,29.6
Évora,1C40705,26.4
Montemor-o-Novo,1C40706,29.7
Mora,1C40707,34.3
Mourão,1C40708,25.3
Portel,1C40709,28.4
Redondo,1C40710,28.8
Reguengos de Monsaraz,1C40711,27.4
Vendas Novas,1C40712,27.6
Viana do Alentejo,1C40713,26.6
Vila Viçosa,1C40714,30.1
Albufeira,1500801,25.3
Alcoutim,1500802,41.2
Aljezur,1500803,28.3
Castro Marim,1500804,29.4
Faro,1500805,25.9
Lagoa,1500806,25.7
Lagos,1500807,27.3
Loulé,1500808,26.2
Monchique,1500809,34.3
Olhão,1500810,25
Portimão,1500811,24.8
São Brás de Alportel,1500812,27.1
Silves,1500813,26.9
Tavira,1500814,30.2
Vila do Bispo,1500815,29
Vila Real de Santo António,1500816,26.2
Angra do Heroísmo,2004301,25.9
Calheta (R.A.A.),2004501,26.6
Corvo,2004901,27.6
Horta,2004701,26.4
Lagoa (R.A.A.),2004201,21.9
Lajes das Flores,2004801,27.6
Lajes do Pico,2004601,27.9
Madalena,2004602,25.7
Nordeste,2004202,25.5
Ponta Delgada,2004203,24.4
Povoação,2004204,24.8
Ribeira Grande,2004205,20
Santa Cruz da Graciosa,2004401,25
Santa Cruz das Flores,2004802,26.8
São Roque do Pico,2004603,28.7
Velas,2004502,27.6
Vila da Praia da Vitória,2004302,26
Vila do Porto,2004101,24
Vila Franca do Campo,2004206,24
Calheta (R.A.M.),3003101,28.1
Câmara de Lobos,3003102,23.3
Funchal,3003103,27.8
Machico,3003104,27.6
Ponta do Sol,3003105,25.9
Porto Moniz,3003106,31.1
Ribeira Brava,3003107,25.5
Santa Cruz,3003108,24.2
Santana,3003109,31.1
São Vicente,3003110,29.6
Porto Santo,3003201,27.5
