local,codigo,Taxa_Criminalidade
Santiago do Cacém,1C11509,35.4
Sines,1C11513,60.0
Aljustrel,1C20201,34.4
Almodôvar,1C20202,29.3
Alvito,1C20203,47.0
Barrancos,1C20204,49.7
Beja,1C20205,45.6
Castro Verde,1C20206,32.4
Cuba,1C20207,50.3
Ferreira do Alentejo,1C20208,48.9
Mértola,1C20209,22.3
Moura,1C20210,31.6
Ourique,1C20212,30.6
Serpa,1C20213,30.7
Vidigueira,1C20214,36.3
Alter do Chão,1C31201,35.2
Arronches,1C31202,23.5
Avis,1C31203,73.6
Campo Maior,1C31204,49.5
Castelo de Vide,1C31205,36.9
Crato,1C31206,31.5
Elvas,1C31207,43.2
Fronteira,1C31208,23.2
Gavião,1C31209,31.6
Marvão,1C31210,20.5
Monforte,1C31211,21.7
Nisa,1C31212,29.0
Ponte de Sor,1C31213,39.7
Portalegre,1C31214,30.3
Sousel,1C31215,30.4
Alandroal,1C40701,18.2
Arraiolos,1C40702,23.3
Borba,1C40703,33.0
Estremoz,1C40704,32.3
Évora,1C40705,26.7
Montemor-o-Novo,1C40706,33.6
Mora,1C40707,28.4
Mourão,1C40708,64.8
Portel,1C40709,31.2
Redondo,1C40710,27.6
Reguengos de Monsaraz,1C40711,38.3
Vendas Novas,1C40712,29.0
Viana do Alentejo,1C40713,36.1
Vila Viçosa,1C40714,26.3
Albufeira,1500801,80.4
Alcoutim,1500802,41.0
Aljezur,1500803,55.6
Castro Marim,1500804,45.3
Faro,1500805,50.4
Lagoa,1500806,45.2
Lagos,1500807,43.1
Loulé,1500808,62.5
Monchique,1500809,33.4
Olhão,1500810,46.2
Portimão,1500811,49.1
São Brás de Alportel,1500812,37.5
Silves,1500813,44.4
Tavira,1500814,47.2
Vila do Bispo,1500815,60.0
Vila Real de Santo António,1500816,48.6
Angra do Heroísmo,2004301,34.9
Calheta (R.A.A.),2004501,21.2
Corvo,2004901,6.9
Horta,2004701,31.0
Lagoa (R.A.A.),2004201,44.9
Lajes das Flores,2004801,14.5
Lajes do Pico,2004601,11.6
Madalena,2004602,35.5
Nordeste,2004202,27.1
Ponta Delgada,2004203,48.5
Povoação,2004204,28.1
Ribeira Grande,2004205,57.9
Santa Cruz da Graciosa,2004401,31.2
Santa Cruz das Flores,2004802,36.7
São Roque do Pico,2004603,24.9
Velas,2004502,23.8
Vila da Praia da Vitória,2004302,30.0
Vila do Porto,2004101,24.4
Vila Franca do Campo,2004206,25.3
Calheta (R.A.M.),3003101,13.2
Câmara de Lobos,3003102,29.4
Funchal,3003103,33.0
Machico,3003104,24.2
Ponta do Sol,3003105,13.1
Porto Moniz,3003106,28.5
Ribeira Brava,3003107,19.9
Santa Cruz,3003108,17.5
Santana,3003109,16.5
São Vicente,3003110,17.7
Porto Santo,3003201,43.0
