local,codigo,Total_Pedidos_Residencia
Vila do Bispo,1500815,528
Vila Real de Santo António,1500816,779
Angra do Heroísmo,2004301,147
Calheta (R.A.A.),2004501,26
Corvo,2004901,0
Horta,2004701,157
Lagoa (R.A.A.),2004201,38
Lajes das Flores,2004801,22
Lajes do Pico,2004601,50
Madalena,2004602,105
Nordeste,2004202,32
Ponta Delgada,2004203,568
Povoação,2004204,19
Ribeira Grande,2004205,106
Santa Cruz da Graciosa,2004401,22
Santa Cruz das Flores,2004802,11
São Roque do Pico,2004603,39
Velas,2004502,23
Vila da Praia da Vitória,2004302,77
Vila do Porto,2004101,45
Vila Franca do Campo,2004206,42
Calheta (R.A.M.),3003101,276
Câmara de Lobos,3003102,209
Funchal,3003103,1916
Machico,3003104,173
Ponta do Sol,3003105,122
Porto Moniz,3003106,30
Ribeira Brava,3003107,78
Santa Cruz,3003108,400
Santana,3003109,71
São Vicente,3003110,65
Porto Santo,3003201,132
