local,codigo,Saldo migratório
Cantanhede,1920602,741.0
Coimbra,1920603,2483.0
Condeixa-a-Nova,1920604,401.0
Figueira da Foz,1920605,1280.0
Góis,1920606,84.0
Lousã,1920607,260.0
Mealhada,1920111,287.0
Mira,1920608,327.0
Miranda do Corvo,1920609,218.0
Montemor-o-Velho,1920610,321.0
Mortágua,1921808,192.0
Oliveira do Hospital,1920611,267.0
Pampilhosa da Serra,1920612,129.0
Penacova,1920613,139.0
Penela,1920614,140.0
Soure,1920615,259.0
Tábua,1920616,268.0
Vila Nova de Poiares,1920617,128.0
Alvaiázere,1931002,157.0
Ansião,1931003,252.0
Batalha,1931004,399.0
Castanheira de Pêra,1931007,64.0
Figueiró dos Vinhos,1931008,120.0
Leiria,1931009,2501.0
Marinha Grande,1931010,956.0
Pedrógão Grande,1931013,143.0
Pombal,1931015,970.0
Porto de Mós,1931016,429.0
Aguiar da Beira,1940901,132.0
Carregal do Sal,1941802,181.0
Castro Daire,1941803,254.0
Mangualde,1941806,360.0
Nelas,1941809,274.0
Oliveira de Frades,1941810,189.0
Penalva do Castelo,1941811,150.0
Santa Comba Dão,1941814,220.0
São Pedro do Sul,1941816,300.0
Sátão,1941817,206.0
Tondela,1941821,413.0
Vila Nova de Paiva,1941822,121.0
Viseu,1941823,1882.0
Vouzela,1941824,186.0
Castelo Branco,1950502,872.0
Idanha-a-Nova,1950505,240.0
Oleiros,1950506,105.0
Penamacor,1950507,130.0
Proença-a-Nova,1950508,89.0
Sertã,1950509,197.0
Vila de Rei,1950510,98.0
Vila Velha de Ródão,1950511,107.0
Almeida,1960902,83.0
Belmonte,1960501,120.0
Celorico da Beira,1960903,132.0
Covilhã,1960503,635.0
Figueira de Castelo Rodrigo,1960904,53.0
Fornos de Algodres,1960905,74.0
Fundão,1960504,572.0
Gouveia,1960906,281.0
Guarda,1960907,390.0
Manteigas,1960908,43.0
Mêda,1960909,65.0
Pinhel,1960910,70.0
Sabugal,1960911,314.0
Seia,1960912,233.0
Trancoso,1960913,121.0
Alcobaça,1D11001,1242.0
Alenquer,1D11101,1489.0
Arruda dos Vinhos,1D11102,442.0
Bombarral,1D11005,517.0
Cadaval,1D11104,477.0
Caldas da Rainha,1D11006,1651.0
Lourinhã,1D11108,834.0
Nazaré,1D11011,379.0
Óbidos,1D11012,528.0
Peniche,1D11014,557.0
Sobral de Monte Agraço,1D11112,427.0
Torres Vedras,1D11113,2164.0
Abrantes,1D21401,359.0
Alcanena,1D21402,230.0
Constância,1D21408,101.0
Entroncamento,1D21410,667.0
Ferreira do Zêzere,1D21411,222.0
Mação,1D21413,128.0
Ourém,1D21421,1106.0
Sardoal,1D21417,97.0
Tomar,1D21418,797.0
Torres Novas,1D21419,633.0
Vila Nova da Barquinha,1D21420,319.0
Almeirim,1D31403,396.0
Alpiarça,1D31404,184.0
Azambuja,1D31103,648.0
Benavente,1D31405,757.0
Cartaxo,1D31406,503.0
Chamusca,1D31407,71.0
Coruche,1D31409,223.0
Golegã,1D31412,77.0
Rio Maior,1D31414,400.0
Salvaterra de Magos,1D31415,593.0
Santarém,1D31416,941.0
Amadora,1A01115,2849.0
Cascais,1A01105,2962.0
Lisboa,1A01106,10480.0
Loures,1A01107,2391.0
Mafra,1A01109,813.0
Odivelas,1A01116,2102.0
Oeiras,1A01110,2140.0
Sintra,1A01111,3779.0
Vila Franca de Xira,1A01114,863.0
Alcochete,1B01502,306.0
Almada,1B01503,2146.0
Barreiro,1B01504,1192.0
Moita,1B01506,1139.0
Montijo,1B01507,1133.0
Palmela,1B01508,1503.0
Seixal,1B01510,2760.0
Sesimbra,1B01511,983.0
Setúbal,1B01512,626.0
Alcácer do Sal,1C11501,109.0
Grândola,1C11505,264.0
Odemira,1C10211,1279.0
Santiago do Cacém,1C11509,332.0
Sines,1C11513,176.0
Aljustrel,1C20201,101.0
Almodôvar,1C20202,75.0
Alvito,1C20203,46.0
Barrancos,1C20204,-5.0
Beja,1C20205,384.0
Castro Verde,1C20206,96.0
Cuba,1C20207,90.0
Ferreira do Alentejo,1C20208,131.0
Mértola,1C20209,57.0
Moura,1C20210,75.0
Ourique,1C20212,79.0
Serpa,1C20213,154.0
Vidigueira,1C20214,83.0
Alter do Chão,1C31201,61.0
Arronches,1C31202,29.0
Avis,1C31203,63.0
Campo Maior,1C31204,22.0
Castelo de Vide,1C31205,30.0
Crato,1C31206,80.0
Elvas,1C31207,88.0
Fronteira,1C31208,76.0
Gavião,1C31209,49.0
Marvão,1C31210,30.0
Monforte,1C31211,52.0
Nisa,1C31212,67.0
Ponte de Sor,1C31213,137.0
Portalegre,1C31214,47.0
Sousel,1C31215,72.0
Alandroal,1C40701,52.0
Arraiolos,1C40702,129.0
Borba,1C40703,50.0
Estremoz,1C40704,55.0
Évora,1C40705,312.0
Montemor-o-Novo,1C40706,223.0
Mora,1C40707,58.0
Mourão,1C40708,35.0
Portel,1C40709,60.0
Redondo,1C40710,73.0
Reguengos de Monsaraz,1C40711,99.0
Vendas Novas,1C40712,165.0
Viana do Alentejo,1C40713,86.0
Vila Viçosa,1C40714,34.0
Albufeira,1500801,877.0
Alcoutim,1500802,11.0
Aljezur,1500803,130.0
Castro Marim,1500804,173.0
Faro,1500805,660.0
Lagoa,1500806,463.0
Lagos,1500807,525.0
Loulé,1500808,956.0
Monchique,1500809,33.0
Olhão,1500810,382.0
Portimão,1500811,999.0
São Brás de Alportel,1500812,160.0
Silves,1500813,730.0
Tavira,1500814,378.0
Vila do Bispo,1500815,88.0
Vila Real de Santo António,1500816,245.0
Angra do Heroísmo,2004301,10.0
Calheta (R.A.A.),2004501,9.0
Corvo,2004901,5.0
Horta,2004701,74.0
