local,codigo,valor_processado_IRS
Castelo Branco,1950502,1534.0
Idanha-a-Nova,1950505,744.0
Oleiros,1950506,60.0
Penamacor,1950507,173.0
Proença-a-Nova,1950508,111.0
Sertã,1950509,376.0
Vila de Rei,1950510,42.0
Vila Velha de Ródão,1950511,70.0
Almeida,1960902,133.0
Belmonte,1960501,259.0
Celorico da Beira,1960903,211.0
Covilhã,1960503,1499.0
Figueira de Castelo Rodrigo,1960904,259.0
Fornos de Algodres,1960905,131.0
Fundão,1960504,1131.0
Gouveia,1960906,427.0
Guarda,1960907,1274.0
Manteigas,1960908,88.0
Mêda,1960909,74.0
Pinhel,1960910,140.0
Sabugal,1960911,340.0
Seia,1960912,813.0
Trancoso,1960913,141.0
Alcobaça,1D11001,833.0
Alenquer,1D11101,775.0
Arruda dos Vinhos,1D11102,164.0
Bombarral,1D11005,159.0
Cadaval,1D11104,192.0
Caldas da Rainha,1D11006,535.0
Lourinhã,1D11108,599.0
Nazaré,1D11011,157.0
Óbidos,1D11012,114.0
Peniche,1D11014,464.0
Sobral de Monte Agraço,1D11112,139.0
Torres Vedras,1D11113,1208.0
Abrantes,1D21401,1231.0
Alcanena,1D21402,192.0
Constância,1D21408,134.0
Entroncamento,1D21410,582.0
Ferreira do Zêzere,1D21411,153.0
Mação,1D21413,114.0
Ourém,1D21421,602.0
Sardoal,1D21417,89.0
Tomar,1D21418,1030.0
Torres Novas,1D21419,630.0
Vila Nova da Barquinha,1D21420,226.0
Almeirim,1D31403,495.0
Alpiarça,1D31404,86.0
Azambuja,1D31103,583.0
Benavente,1D31405,778.0
Cartaxo,1D31406,322.0
Chamusca,1D31407,137.0
Coruche,1D31409,644.0
Golegã,1D31412,98.0
Rio Maior,1D31414,361.0
Salvaterra de Magos,1D31415,457.0
Santarém,1D31416,1598.0
Amadora,1A01115,5235.0
Cascais,1A01105,5204.0
Lisboa,1A01106,27006.0
Loures,1A01107,6377.0
Mafra,1A01109,1050.0
Odivelas,1A01116,3670.0
Oeiras,1A01110,2345.0
Sintra,1A01111,7940.0
Vila Franca de Xira,1A01114,3167.0
Alcochete,1B01502,388.0
Almada,1B01503,8298.0
Barreiro,1B01504,3705.0
Moita,1B01506,3716.0
Montijo,1B01507,2218.0
Palmela,1B01508,990.0
Seixal,1B01510,5480.0
Sesimbra,1B01511,1510.0
Setúbal,1B01512,4795.0
Alcácer do Sal,1C11501,153.0
Grândola,1C11505,282.0
Odemira,1C10211,443.0
Santiago do Cacém,1C11509,291.0
Sines,1C11513,396.0
Aljustrel,1C20201,533.0
Almodôvar,1C20202,131.0
Alvito,1C20203,93.0
Barrancos,1C20204,61.0
Beja,1C20205,1977.0
Castro Verde,1C20206,132.0
Cuba,1C20207,328.0
Ferreira do Alentejo,1C20208,249.0
Mértola,1C20209,194.0
Moura,1C20210,2076.0
Ourique,1C20212,81.0
Serpa,1C20213,1063.0
Vidigueira,1C20214,392.0
Alter do Chão,1C31201,187.0
Arronches,1C31202,21.0
Avis,1C31203,326.0
Campo Maior,1C31204,506.0
Castelo de Vide,1C31205,39.0
Crato,1C31206,154.0
Elvas,1C31207,1547.0
Fronteira,1C31208,44.0
Gavião,1C31209,84.0
Marvão,1C31210,75.0
