local,codigo,Beneficiários_Abono_Familia
Aguiar da Beira,1940901,287.0
Carregal do Sal,1941802,726.0
Castro Daire,1941803,1069.0
Mangualde,1941806,1419.0
Nelas,1941809,921.0
Oliveira de Frades,1941810,771.0
Penalva do Castelo,1941811,495.0
Santa Comba Dão,1941814,760.0
São Pedro do Sul,1941816,1142.0
Sátão,1941817,814.0
Tondela,1941821,1741.0
Vila Nova de Paiva,1941822,299.0
Viseu,1941823,7801.0
Vouzela,1941824,688.0
Castelo Branco,1950502,4045.0
Idanha-a-Nova,1950505,558.0
Oleiros,1950506,189.0
Penamacor,1950507,242.0
Proença-a-Nova,1950508,389.0
Sertã,1950509,1130.0
Vila de Rei,1950510,239.0
Vila Velha de Ródão,1950511,227.0
Almeida,1960902,266.0
Belmonte,1960501,463.0
Celorico da Beira,1960903,446.0
Covilhã,1960503,3492.0
Figueira de Castelo Rodrigo,1960904,367.0
Fornos de Algodres,1960905,290.0
Fundão,1960504,1946.0
Gouveia,1960906,775.0
Guarda,1960907,2692.0
Manteigas,1960908,189.0
Mêda,1960909,301.0
Pinhel,1960910,501.0
Sabugal,1960911,569.0
Seia,1960912,1438.0
Trancoso,1960913,540.0
Alcobaça,1D11001,4296.0
Alenquer,1D11101,4107.0
Arruda dos Vinhos,1D11102,1093.0
Bombarral,1D11005,1061.0
Cadaval,1D11104,1013.0
Caldas da Rainha,1D11006,4104.0
Lourinhã,1D11108,2446.0
Nazaré,1D11011,1245.0
Óbidos,1D11012,917.0
Peniche,1D11014,2360.0
Sobral de Monte Agraço,1D11112,942.0
Torres Vedras,1D11113,6916.0
Abrantes,1D21401,2507.0
Alcanena,1D21402,1042.0
Constância,1D21408,294.0
Entroncamento,1D21410,1940.0
Ferreira do Zêzere,1D21411,589.0
Mação,1D21413,345.0
Ourém,1D21421,3650.0
Sardoal,1D21417,239.0
Tomar,1D21418,2581.0
Torres Novas,1D21419,2581.0
Vila Nova da Barquinha,1D21420,530.0
Almeirim,1D31403,2094.0
Alpiarça,1D31404,637.0
Azambuja,1D31103,1825.0
Benavente,1D31405,2943.0
Cartaxo,1D31406,1947.0
Chamusca,1D31407,685.0
Coruche,1D31409,1216.0
Golegã,1D31412,435.0
Rio Maior,1D31414,2063.0
Salvaterra de Magos,1D31415,1917.0
Santarém,1D31416,4818.0
Amadora,1A01115,15693.0
Cascais,1A01105,13789.0
Lisboa,1A01106,30188.0
Loures,1A01107,17582.0
Mafra,1A01109,6954.0
Odivelas,1A01116,12681.0
Oeiras,1A01110,9212.0
Sintra,1A01111,36780.0
Vila Franca de Xira,1A01114,11446.0
Alcochete,1B01502,1243.0
Almada,1B01503,14146.0
Barreiro,1B01504,6667.0
Moita,1B01506,6917.0
Montijo,1B01507,4960.0
