local,codigo,Edifícios de habitação familiar clássica
Nazaré,1D11011,7612.0
Óbidos,1D11012,8494.0
Peniche,1D11014,13448.0
Sobral de Monte Agraço,1D11112,4248.0
Torres Vedras,1D11113,33430.0
Médio Tejo,1D2,113227.0
Abrantes,1D21401,19999.0
Alcanena,1D21402,6580.0
Constância,1D21408,1866.0
Entroncamento,1D21410,4247.0
Ferreira do Zêzere,1D21411,6935.0
Mação,1D21413,6314.0
Ourém,1D21421,23981.0
Sardoal,1D21417,2717.0
Tomar,1D21418,20537.0
Torres Novas,1D21419,16646.0
Vila Nova da Barquinha,1D21420,3405.0
Lezíria do Tejo,1D3,106412.0
Almeirim,1D31403,9319.0
Alpiarça,1D31404,3476.0
Azambuja,1D31103,9440.0
Benavente,1D31405,9812.0
Cartaxo,1D31406,9947.0
Chamusca,1D31407,5596.0
Coruche,1D31409,11129.0
Golegã,1D31412,3137.0
Rio Maior,1D31414,9673.0
Salvaterra de Magos,1D31415,11006.0
Santarém,1D31416,23877.0
Grande Lisboa,1A,277836.0
Grande Lisboa,1A0,277836.0
Amadora,1A01115,12567.0
Cascais,1A01105,44442.0
Lisboa,1A01106,49257.0
Loures,1A01107,31556.0
Mafra,1A01109,29070.0
Odivelas,1A01116,17270.0
Oeiras,1A01110,18595.0
Sintra,1A01111,58099.0
Vila Franca de Xira,1A01114,16980.0
Península de Setúbal,1B,177939.0
Península de Setúbal,1B0,177939.0
Alcochete,1B01502,4639.0
Almada,1B01503,34858.0
Barreiro,1B01504,10903.0
Moita,1B01506,12314.0
Montijo,1B01507,13178.0
Palmela,1B01508,22676.0
Seixal,1B01510,32743.0
Sesimbra,1B01511,21736.0
Setúbal,1B01512,24892.0
Alentejo,1C,278234.0
Alentejo Litoral,1C1,54697.0
Alcácer do Sal,1C11501,7616.0
Grândola,1C11505,9760.0
Odemira,1C10211,19099.0
Santiago do Cacém,1C11509,13264.0
Sines,1C11513,4958.0
Baixo Alentejo,1C2,75228.0
Aljustrel,1C20201,5573.0
Almodôvar,1C20202,5148.0
Alvito,1C20203,1656.0
Barrancos,1C20204,1216.0
Beja,1C20205,13493.0
Castro Verde,1C20206,4711.0
Cuba,1C20207,2920.0
Ferreira do Alentejo,1C20208,4965.0
Mértola,1C20209,8526.0
Moura,1C20210,9402.0
Ourique,1C20212,4057.0
Serpa,1C20213,9890.0
Vidigueira,1C20214,3671.0
Alto Alentejo,1C3,67593.0
Alter do Chão,1C31201,2819.0
Arronches,1C31202,2213.0
Avis,1C31203,3436.0
Campo Maior,1C31204,4249.0
Castelo de Vide,1C31205,2649.0
Crato,1C31206,3118.0
Elvas,1C31207,9345.0
Fronteira,1C31208,2455.0
Gavião,1C31209,3357.0
Marvão,1C31210,2747.0
Monforte,1C31211,2311.0
Nisa,1C31212,7024.0
Ponte de Sor,1C31213,9328.0
Portalegre,1C31214,9121.0
Sousel,1C31215,3421.0
Alentejo Central,1C4,80716.0
Alandroal,1C40701,4292.0
Arraiolos,1C40702,4421.0
Borba,1C40703,3325.0
Estremoz,1C40704,7267.0
Évora,1C40705,20902.0
Montemor-o-Novo,1C40706,8067.0
Mora,1C40707,3785.0
Mourão,1C40708,1847.0
Portel,1C40709,4148.0
Redondo,1C40710,3883.0
Reguengos de Monsaraz,1C40711,6183.0
Vendas Novas,1C40712,5233.0
Viana do Alentejo,1C40713,3439.0
Vila Viçosa,1C40714,3924.0
Algarve,15,201736.0
Algarve,150,201736.0
Albufeira,1500801,19875.0
Alcoutim,1500802,3540.0
Aljezur,1500803,5399.0
Castro Marim,1500804,6850.0
Faro,1500805,17360.0
Lagoa,1500806,13621.0
Lagos,1500807,13416.0
Loulé,1500808,34860.0
Monchique,1500809,4225.0
Olhão,1500810,15655.0
Portimão,1500811,14885.0
São Brás de Alportel,1500812,5149.0
Silves,1500813,18529.0
Tavira,1500814,15063.0
Vila do Bispo,1500815,5048.0
Vila Real de Santo António,1500816,8261.0
Região Autónoma dos Açores,2,101077.0
Região Autónoma dos Açores,20,101077.0
Região Autónoma dos Açores,200,101077.0
Angra do Heroísmo,2004301,13851.0
Calheta (R.A.A.),2004501,2323.0
Corvo,2004901,198.0
Horta,2004701,6617.0
Lagoa (R.A.A.),2004201,4939.0
Lajes das Flores,2004801,1007.0
Lajes do Pico,2004601,3170.0
Madalena,2004602,3472.0
Nordeste,2004202,2624.0
Ponta Delgada,2004203,22877.0
Povoação,2004204,3494.0
Ribeira Grande,2004205,10806.0
Santa Cruz da Graciosa,2004401,2803.0
Santa Cruz das Flores,2004802,1106.0
São Roque do Pico,2004603,2264.0
Velas,2004502,2968.0
Vila da Praia da Vitória,2004302,8968.0
Vila do Porto,2004101,3537.0
Vila Franca do Campo,2004206,4053.0
Região Autónoma da Madeira,3,91365.0
Região Autónoma da Madeira,30,91365.0
Região Autónoma da Madeira,300,91365.0
Calheta (R.A.M.),3003101,7220.0
Câmara de Lobos,3003102,10503.0
Funchal,3003103,28156.0
Machico,3003104,8507.0
Ponta do Sol,3003105,4481.0
Porto Moniz,3003106,1876.0
Ribeira Brava,3003107,6130.0
Santa Cruz,3003108,12502.0
Santana,3003109,4717.0
São Vicente,3003110,3717.0
Porto Santo,3003201,3556.0
