local,codigo,Valor mediano das vendas por m2
Junqueira,11A131612,0
Labruge,11A131613,2034
Macieira da Maia,11A131614,0
Mindelo,11A131616,2033
Modivas,11A131617,0
"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",11A131631,0
União das freguesias de Fornelo e Vairão,11A131632,0
União das freguesias de Malta e Canidelo,11A131633,0
União das freguesias de Retorta e Tougues,11A131634,0
União das freguesias de Rio Mau e Arcos,11A131635,0
União das freguesias de Touguinha e Touguinhó,11A131636,1607
União das freguesias de Vilar e Mosteiró,11A131637,0
Vila Chã,11A131627,1837
Vila do Conde,11A131628,2086
Vilar de Pinheiro,11A131630,0
Vila Nova de Gaia,11A1317,2128
Arcozelo,11A131701,1885
Avintes,11A131702,1682
Canelas,11A131703,1744
Canidelo,11A131704,2500
Madalena,11A131709,2325
Oliveira do Douro,11A131712,2209
São Félix da Marinha,11A131717,2007
União das freguesias de Grijó e Sermonde,11A131725,1838
União das freguesias de Gulpilhares e Valadares,11A131726,1958
União das freguesias de Mafamude e Vilar do Paraíso,11A131727,2242
União das freguesias de Pedroso e Seixezelo,11A131728,1674
"União das freguesias de Sandim, Olival, Lever e Crestuma",11A131729,1538
União das freguesias de Santa Marinha e São Pedro da Afurada,11A131730,2361
União das freguesias de Serzedo e Perosinho,11A131731,1671
Vilar de Andorinho,11A131723,1617
Alto Tâmega e Barroso,11B,817
Boticas,11B1702,542
Chaves,11B1703,1000
Montalegre,11B1706,487
Ribeira de Pena,11B1709,758
Valpaços,11B1712,564
Vila Pouca de Aguiar,11B1713,767
Tâmega e Sousa,11C,983
Amarante,11C1301,962
Baião,11C1302,599
Castelo de Paiva,11C0106,886
Celorico de Basto,11C0305,669
Cinfães,11C1804,336
Felgueiras,11C1303,970
Lousada,11C1305,1117
Marco de Canaveses,11C1307,991
Paços de Ferreira,11C1309,1167
Penafiel,11C1311,1124
Resende,11C1813,550
Douro,11D,622
Alijó,11D1701,460
Armamar,11D1801,208
Carrazeda de Ansiães,11D0403,448
Freixo de Espada à Cinta,11D0404,364
Lamego,11D1805,730
Mesão Frio,11D1704,500
Moimenta da Beira,11D1807,465
Murça,11D1707,324
Penedono,11D1812,0
Peso da Régua,11D1708,642
Sabrosa,11D1710,558
Santa Marta de Penaguião,11D1711,458
São João da Pesqueira,11D1815,420
Sernancelhe,11D1818,287
Tabuaço,11D1819,334
Tarouca,11D1820,700
Torre de Moncorvo,11D0409,313
Vila Nova de Foz Côa,11D0914,414
Vila Real,11D1714,1335
Terras de Trás-os-Montes,11E,710
Alfândega da Fé,11E0401,417
Bragança,11E0402,932
Macedo de Cavaleiros,11E0405,624
Miranda do Douro,11E0406,471
Mirandela,11E0407,805
Mogadouro,11E0408,391
Vila Flor,11E0410,383
Vimioso,11E0411,316
Vinhais,11E0412,391
Centro,19,1026
Região de Aveiro,191,1372
Águeda,1910101,990
Albergaria-a-Velha,1910102,1184
Anadia,1910103,776
Aveiro,1910105,2096
Estarreja,1910108,1071
Ílhavo,1910110,1706
Murtosa,1910112,1117
Oliveira do Bairro,1910114,1130
Ovar,1910115,1515
Sever do Vouga,1910117,703
Vagos,1910118,1399
Região de Coimbra,192,1188
Arganil,1920601,557
Cantanhede,1920602,1000
Coimbra,1920603,1791
Almalaguês,192060301,592
Brasfemes,192060309,1120
Ceira,192060311,906
Cernache,192060312,833
Santo António dos Olivais,192060318,2456
São João do Campo,192060320,0
São Silvestre,192060324,0
Torres do Mondego,192060329,0
União das freguesias de Antuzede e Vil de Matos,192060332,0
União das freguesias de Assafarge e Antanhol,192060333,1276
"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",192060334,2179
União das freguesias de Eiras e São Paulo de Frades,192060335,1596
União das freguesias de Santa Clara e Castelo Viegas,192060336,1772
União das freguesias de São Martinho de Árvore e Lamarosa,192060337,0
União das freguesias de São Martinho do Bispo e Ribeira de Frades,192060338,1546
União das freguesias de Souselas e Botão,192060339,679
"União das freguesias de Taveiro, Ameal e Arzila",192060340,1077
União das freguesias de Trouxemil e Torre de Vilela,192060341,828
Condeixa-a-Nova,1920604,1366
Figueira da Foz,1920605,1534
Góis,1920606,453
Lousã,1920607,1012
Mealhada,1920111,984
Mira,1920608,1344
Miranda do Corvo,1920609,733
Montemor-o-Velho,1920610,955
Mortágua,1921808,675
Oliveira do Hospital,1920611,682
Pampilhosa da Serra,1920612,274
Penacova,1920613,590
Penela,1920614,828
Soure,1920615,723
Tábua,1920616,606
Vila Nova de Poiares,1920617,714
Região de Leiria,193,1190
Alvaiázere,1931002,573
Ansião,1931003,562
Batalha,1931004,950
Castanheira de Pêra,1931007,430
Figueiró dos Vinhos,1931008,595
Leiria,1931009,1486
Amor,193100901,0
Arrabal,193100902,0
Bajouca,193100925,0
Bidoeira de Cima,193100926,0
Caranguejeira,193100907,954
Coimbrão,193100909,1436
Maceira,193100913,1060
Milagres,193100915,0
Regueira de Pontes,193100921,0
União das freguesias de Colmeias e Memória,193100932,931
"União das freguesias de Leiria, Pousos, Barreira e Cortes",193100933,1719
União das freguesias de Marrazes e Barosa,193100934,1588
União das freguesias de Monte Real e Carvide,193100935,960
União das freguesias de Monte Redondo e Carreira,193100936,1000
União das freguesias de Parceiros e Azoia,193100937,1720
União das freguesias de Santa Catarina da Serra e Chainça,193100938,0
União das freguesias de Santa Eufémia e Boa Vista,193100939,0
União das freguesias de Souto da Carpalhosa e Ortigosa,193100940,1063
Marinha Grande,1931010,1186
Pedrógão Grande,1931013,582
Pombal,1931015,1031
Porto de Mós,1931016,833
Viseu Dão Lafões,194,809
Aguiar da Beira,1940901,438
Carregal do Sal,1941802,528
Castro Daire,1941803,506
Mangualde,1941806,559
Nelas,1941809,690
Oliveira de Frades,1941810,847
Penalva do Castelo,1941811,422
Santa Comba Dão,1941814,763
São Pedro do Sul,1941816,784
Sátão,1941817,593
Tondela,1941821,616
Vila Nova de Paiva,1941822,477
Viseu,1941823,1273
Vouzela,1941824,516
Beira Baixa,195,583
Castelo Branco,1950502,743
Idanha-a-Nova,1950505,274
Oleiros,1950506,460
Penamacor,1950507,300
Proença-a-Nova,1950508,627
Sertã,1950509,857
Vila de Rei,1950510,433
Vila Velha de Ródão,1950511,325
Beiras e Serra da Estrela,196,595
Almeida,1960902,335
Belmonte,1960501,556
Celorico da Beira,1960903,363
Covilhã,1960503,870
Figueira de Castelo Rodrigo,1960904,240
Fornos de Algodres,1960905,291
Fundão,1960504,742
Gouveia,1960906,418
Guarda,1960907,835
Manteigas,1960908,389
Mêda,1960909,416
Pinhel,1960910,360
Sabugal,1960911,289
Seia,1960912,517
Trancoso,1960913,417
Oeste e Vale do Tejo,1D,1281
Oeste,1D1,1613
Alcobaça,1D11001,1339
Alenquer,1D11101,1534
Arruda dos Vinhos,1D11102,1780
Bombarral,1D11005,1311
Cadaval,1D11104,1080
Caldas da Rainha,1D11006,1662
Lourinhã,1D11108,1642
Nazaré,1D11011,2559
Óbidos,1D11012,1914
Peniche,1D11014,1810
Sobral de Monte Agraço,1D11112,1313
Torres Vedras,1D11113,1784
Médio Tejo,1D2,937
Abrantes,1D21401,715
Alcanena,1D21402,690
Constância,1D21408,938
Entroncamento,1D21410,1227
Ferreira do Zêzere,1D21411,843
Mação,1D21413,273
Ourém,1D21421,1000
Sardoal,1D21417,561
