local,codigo,Alojamentos
União das freguesias de Anjos e Vilar do Chão,031123,365
União das freguesias de Caniçada e Soengas,031124,443
União das freguesias de Ruivães e Campos,031125,653
União das freguesias de Ventosa e Cova,031126,465
Vieira do Minho,031120,1273
Vila Nova de Famalicão,0312,57740
Bairro,031204,1552
Brufe,031206,983
Castelões,031210,789
Cruz,031212,688
Delães,031213,1832
Fradelos,031215,1504
Gavião,031216,1668
Joane,031219,3416
Landim,031221,1216
Louro,031223,940
Lousado,031224,1553
Mogege,031225,761
Nine,031227,1280
Oliveira (Santa Maria),031239,1440
Oliveira (São Mateus),031242,1167
Pedome,031230,900
Pousada de Saramagos,031232,924
Requião,031233,1332
Riba de Ave,031234,1494
Ribeirão,031235,3623
União das freguesias de Antas e Abade de Vermoim,031250,3626
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures,031251,1477
União das freguesias de Avidos e Lagoa,031252,1082
União das freguesias de Carreira e Bente,031253,1152
União das freguesias de Esmeriz e Cabeçudos,031254,1510
"União das freguesias de Gondifelos, Cavalões e Outiz",031255,2186
"União das freguesias de Lemenhe, Mouquim e Jesufrei",031256,1370
União das freguesias de Ruivães e Novais,031257,1277
União das freguesias de Seide,031258,649
"União das freguesias de Vale (São Cosme), Telhado e Portela",031259,2182
União das freguesias de Vila Nova de Famalicão e Calendário,031260,9550
Vale (São Martinho),031241,781
Vermoim,031247,1320
Vilarinho das Cambas,031249,516
Vizela,0314,9841
Infias,031404,745
Santa Eulália,031401,2136
União das freguesias de Caldas de Vizela (São Miguel e São João),031408,4770
União das freguesias de Tagilde e Vizela (São Paio),031409,1281
Vizela (Santo Adrião),031406,909
Área Metropolitana do Porto,11A,837386
Arouca,0104,11170
Alvarenga,010402,854
Chave,010407,667
Escariz,010409,993
Fermedo,010411,668
Mansores,010413,483
Moldes,010414,617
Rossas,010415,772
Santa Eulália,010416,1023
São Miguel do Mato,010417,298
Tropeço,010418,570
União das freguesias de Arouca e Burgo,010421,2534
União das freguesias de Cabreiros e Albergaria da Serra,010422,179
União das freguesias de Canelas e Espiunca,010423,592
União das freguesias de Covelo de Paivó e Janarde,010424,164
Urrô,010419,510
Várzea,010420,246
Espinho,0107,16040
Espinho,010702,6399
Paramos,010704,1496
Silvalde,010705,2865
União das freguesias de Anta e Guetim,010706,5280
Gondomar,1304,74595
Baguim do Monte (Rio Tinto),130412,6240
Lomba,130405,791
Rio Tinto,130408,24327
União das freguesias de Fânzeres e São Pedro da Cova,130413,16740
União das freguesias de Foz do Sousa e Covelo,130414,3049
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",130415,21214
União das freguesias de Melres e Medas,130416,2234
Maia,1306,59707
Águas Santas,130601,11867
Castêlo da Maia,130618,7928
Cidade da Maia,130619,17714
Folgosa,130603,1514
Milheirós,130608,2027
Moreira,130609,5834
Nogueira e Silva Escura,130620,3466
Pedrouços,130617,6036
São Pedro Fins,130613,712
Vila Nova da Telha,130616,2609
Matosinhos,1308,82331
"União das freguesias de Custóias, Leça do Balio e Guifões",130811,19334
União das freguesias de Matosinhos e Leça da Palmeira,130812,24642
"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",130813,13173
União das freguesias de São Mamede de Infesta e Senhora da Hora,130814,25182
Oliveira de Azeméis,0113,30666
Carregosa,011301,1684
Cesar,011302,1449
Fajões,011303,1335
Loureiro,011304,1571
Macieira de Sarnes,011305,857
Ossela,011310,1002
São Martinho da Gândara,011315,810
São Roque,011318,2241
União das freguesias de Nogueira do Cravo e Pindelo,011320,2352
"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",011321,9565
"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",011322,3170
Vila de Cucujães,011319,4630
Paredes,1310,36139
Aguiar de Sousa,131001,687
Astromil,131002,437
Baltar,131003,2102
Beire,131004,779
Cete,131008,1341
Cristelo,131009,767
Duas Igrejas,131010,1423
Gandra,131011,3311
Lordelo,131013,3958
Louredo,131014,610
Parada de Todeia,131017,794
Paredes,131025,8984
Rebordosa,131018,3616
Recarei,131019,1782
Sobreira,131020,1714
Sobrosa,131021,1007
Vandoma,131022,967
Vilela,131024,1860
Porto,1312,133644
Bonfim,131202,14855
Campanhã,131203,16041
Paranhos,131210,27478
Ramalde,131211,19148
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",131216,14071
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",131217,27098
União das freguesias de Lordelo do Ouro e Massarelos,131218,14953
Póvoa de Varzim,1313,36171
Balazar,131305,1103
Estela,131307,1011
Laundos,131308,787
Rates,131311,919
"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",131315,21061
União das freguesias de Aguçadoura e Navais,131314,2435
"União das freguesias de Aver-o-Mar, Amorim e Terroso",131313,8855
Santa Maria da Feira,0109,62536
Argoncilhe,010901,3572
Arrifana,010902,2965
Escapães,010904,1437
Fiães,010907,3296
Fornos,010908,1481
Lourosa,010913,3744
Milheirós de Poiares,010914,1615
Mozelos,010916,3109
Nogueira da Regedoura,010917,2400
Paços de Brandão,010919,2153
Rio Meão,010921,2086
Romariz,010922,1449
Sanguedo,010924,1485
Santa Maria de Lamas,010925,2078
São João de Ver,010926,4805
São Paio de Oleiros,010918,1666
União das freguesias de Caldas de São Jorge e Pigeiros,010932,1752
"União das freguesias de Canedo, Vale e Vila Maior",010933,4749
"União das freguesias de Lobão, Gião, Louredo e Guisande",010934,4949
"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",010935,8843
União de freguesias de São Miguel de Souto e Mosteirô,010936,2902
Santo Tirso,1314,30954
Agrela,131401,643
Água Longa,131402,987
Aves,131405,3779
Monte Córdova,131413,1808
Negrelos (São Tomé),131430,1804
Rebordões,131416,1519
Reguenga,131418,669
Roriz,131419,1427
"União das freguesias de Areias, Sequeiró, Lama e Palmeira",131433,2865
União das freguesias de Carreira e Refojos de Riba de Ave,131435,881
União das freguesias de Lamelas e Guimarei,131436,728
"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",131437,9661
Vila Nova do Campo,131434,2736
Vilarinho,131432,1447
São João da Madeira,0116,10609
São João da Madeira,011601,10609
Trofa,1318,15995
Covelas,131806,586
Muro,131808,774
União das freguesias de Alvarelhos e Guidões,131809,1831
União das freguesias de Bougado (São Martinho e Santiago),131810,9014
União das freguesias de Coronado (São Romão e São Mamede),131811,3790
Vale de Cambra,0119,11931
Arões,011901,758
Cepelos,011903,816
Junqueira,011905,556
Macieira de Cambra,011906,2442
