local,codigo,Alojamentos
Couto de Esteves,011702,577
Pessegueiro do Vouga,011704,1033
Rocas do Vouga,011705,951
Sever do Vouga,011706,1630
Talhadas,011708,709
União das freguesias de Cedrim e Paradela,011710,853
União das freguesias de Silva Escura e Dornelas,011711,1360
Vagos,0118,13347
Calvão,011801,1051
Gafanha da Boa Hora,011804,3140
Ouca,011805,881
Santo André de Vagos,011810,1063
Sosa,011807,1459
União das freguesias de Fonte de Angeão e Covão do Lobo,011812,1214
União das freguesias de Ponte de Vagos e Santa Catarina,011813,1371
União das freguesias de Vagos e Santo António,011814,3168
Região de Coimbra,16E,284782
Arganil,0601,10859
Arganil,060102,2511
Benfeita,060104,710
Celavisa,060105,309
Folques,060109,452
Piódão,060111,447
Pomares,060112,809
Pombeiro da Beira,060113,891
São Martinho da Cortiça,060114,918
Sarzedo,060115,514
Secarias,060116,282
União das freguesias de Cepos e Teixeira,060119,451
União das freguesias de Cerdeira e Moura da Serra,060120,597
União das freguesias de Côja e Barril de Alva,060121,1363
União das freguesias de Vila Cova de Alva e Anseriz,060122,605
Cantanhede,0602,21045
Ançã,060201,1422
Cadima,060203,1521
Cordinhã,060205,571
Febres,060207,1961
Murtede,060208,829
Ourentã,060209,653
Sanguinheira,060218,925
São Caetano,060215,494
Tocha,060214,3063
União das freguesias de Cantanhede e Pocariça,060220,4941
União das freguesias de Covões e Camarneira,060221,1813
União das freguesias de Portunhos e Outil,060222,976
União das freguesias de Sepins e Bolho,060223,1086
União das freguesias de Vilamar e Corticeiro de Cima,060224,790
Coimbra,0603,82004
Almalaguês,060301,1555
Brasfemes,060309,884
Ceira,060311,1936
Cernache,060312,1922
Santo António dos Olivais,060318,25647
São João do Campo,060320,897
São Silvestre,060324,1265
Torres do Mondego,060329,1201
União das freguesias de Antuzede e Vil de Matos,060332,1385
União das freguesias de Assafarge e Antanhol,060333,2350
"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",060334,11790
União das freguesias de Eiras e São Paulo de Frades,060335,9144
União das freguesias de Santa Clara e Castelo Viegas,060336,6548
União das freguesias de São Martinho de Árvore e Lamarosa,060337,1427
União das freguesias de São Martinho do Bispo e Ribeira de Frades,060338,8152
União das freguesias de Souselas e Botão,060339,2175
"União das freguesias de Taveiro, Ameal e Arzila",060340,1959
União das freguesias de Trouxemil e Torre de Vilela,060341,1767
Condeixa-a-Nova,0604,8403
Anobra,060401,666
Ega,060406,1420
Furadouro,060407,132
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova,060411,3999
União das freguesias de Sebal e Belide,060412,1290
União das freguesias de Vila Seca e Bem da Fé,060413,585
Zambujal,060410,311
Figueira da Foz,0605,44139
Alhadas,060519,2452
Alqueidão,060502,988
Bom Sucesso,060515,1120
Buarcos e São Julião,060520,19130
Ferreira-a-Nova,060521,1274
Lavos,060522,2155
Maiorca,060507,1376
Marinha das Ondas,060508,1617
Moinhos da Gândara,060518,624
Paião,060523,1582
Quiaios,060524,2456
São Pedro,060514,2141
Tavarede,060512,5656
Vila Verde,060513,1568
Góis,0606,5048
Alvares,060601,1657
Góis,060604,1769
União das freguesias de Cadafaz e Colmeal,060606,862
Vila Nova do Ceira,060605,760
Lousã,0607,10464
Gândaras,060706,731
Serpins,060704,1185
União das freguesias de Foz de Arouce e Casal de Ermio,060707,844
União das freguesias de Lousã e Vilarinho,060708,7704
Mealhada,0111,10410
Barcouço,011102,1064
Casal Comba,011103,1662
Luso,011104,1398
Pampilhosa,011106,2055
"União das freguesias da Mealhada, Ventosa do Bairro e Antes",011109,3342
Vacariça,011107,889
Mira,0608,8861
Carapelhos,060803,435
Mira,060801,4292
Praia de Mira,060804,3269
Seixo,060802,865
Miranda do Corvo,0609,7282
Lamas,060901,494
Miranda do Corvo,060902,4021
União das freguesias de Semide e Rio Vide,060906,2006
Vila Nova,060905,761
Montemor-o-Velho,0610,13329
Arazede,061002,2732
Carapinheira,061003,1481
Ereira,061014,357
Liceia,061005,505
Meãs do Campo,061006,817
Pereira,061008,1703
Santo Varão,061009,954
Seixo de Gatões,061010,656
Tentúgal,061011,1101
"União das freguesias de Abrunheira, Verride e Vila Nova da Barca",061015,1041
União das freguesias de Montemor-o-Velho e Gatões,061016,1982
Mortágua,1808,6211
Cercosa,180802,204
Espinho,180804,767
Marmeleira,180805,332
Pala,180807,577
Sobral,180808,1393
Trezói,180809,258
"União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça",180811,2680
Oliveira do Hospital,0611,13943
Aldeia das Dez,061101,589
Alvoco das Várzeas,061102,318
Avô,061103,446
Bobadela,061104,439
Lagares,061106,895
Lourosa,061109,493
Meruge,061110,403
Nogueira do Cravo,061111,1309
São Gião,061115,503
Seixo da Beira,061118,1051
Travanca de Lagos,061119,874
União das freguesias de Ervedal e Vila Franca da Beira,061122,1118
União das freguesias de Lagos da Beira e Lajeosa,061123,766
União das freguesias de Oliveira do Hospital e São Paio de Gramaços,061124,3259
União das freguesias de Penalva de Alva e São Sebastião da Feira,061125,782
União das freguesias de Santa Ovaia e Vila Pouca da Beira,061126,698
Pampilhosa da Serra,0612,5605
Cabril,061201,498
Dornelas do Zêzere,061202,465
Fajão-Vidual,061211,654
Janeiro de Baixo,061204,686
Pampilhosa da Serra,061206,1678
Pessegueiro,061207,372
Portela do Fojo-Machio,061212,764
Unhais-o-Velho,061209,488
Penacova,0613,8385
Carvalho,061301,485
Figueira de Lorvão,061302,1244
Lorvão,061304,2024
Penacova,061307,1830
Sazes do Lorvão,061310,390
União das freguesias de Friúmes e Paradela,061312,603
União das freguesias de Oliveira do Mondego e Travanca do Mondego,061313,627
União das freguesias de São Pedro de Alva e São Paio de Mondego,061314,1182
Penela,0614,4382
Cumeeira,061401,777
Espinhal,061402,734
Podentes,061403,326
"União das freguesias de São Miguel, Santa Eufémia e Rabaçal",061407,2545
Soure,0615,11267
Alfarelos,061501,850
Figueiró do Campo,061504,763
Granja do Ulmeiro,061506,1001
Samuel,061508,808
Soure,061509,4533
Tapéus,061510,225
União das freguesias de Degracias e Pombalinho,061513,816
União das freguesias de Gesteira e Brunhós,061514,676
Vila Nova de Anços,061511,687
Vinha da Rainha,061512,908
Tábua,0616,8706
Candosa,061602,444
Carapinha,061603,267
Midões,061608,1226
Mouronho,061609,690
Póvoa de Midões,061611,409
São João da Boa Vista,061612,327
Tábua,061614,2367
União das freguesias de Ázere e Covelo,061616,690
União das freguesias de Covas e Vila Nova de Oliveirinha,061617,1115
União das freguesias de Espariz e Sinde,061618,739
União das freguesias de Pinheiro de Coja e Meda de Mouros,061619,432
Vila Nova de Poiares,0617,4439
Arrifana,061701,921
Lavegadas,061702,184
Poiares (Santo André),061703,2562
São Miguel de Poiares,061704,772
Região de Leiria,16F,173532
Alvaiázere,1002,5728
Almoster,100201,587
Alvaiázere,100208,1452
Maçãs de Dona Maria,100204,1373
Pelmá,100205,800
Pussos São Pedro,100209,1516
Ansião,1003,8548
Alvorge,100301,755
Ansião,100309,2134
Avelar,100303,1321
Chão de Couce,100304,1264
Pousaflores,100306,840
Santiago da Guarda,100307,2234
Batalha,1004,8483
Batalha,100401,4419
Golpilheira,100404,746
Reguengo do Fetal,100402,1177
São Mamede,100403,2141
Castanheira de Pêra,1007,2692
União das freguesias de Castanheira de Pêra e Coentral,100703,2692
Figueiró dos Vinhos,1008,4905
Aguda,100801,931
Arega,100802,660
Campelo,100803,632
União das freguesias de Figueiró dos Vinhos e Bairradas,100806,2682
Leiria,1009,70403
Amor,100901,2122
Arrabal,100902,1356
Bajouca,100925,942
Bidoeira de Cima,100926,1140
Caranguejeira,100907,2539
Coimbrão,100909,2982
Maceira,100913,4587
Milagres,100915,1517
Regueira de Pontes,100921,970
União das freguesias de Colmeias e Memória,100932,2637
"União das freguesias de Leiria, Pousos, Barreira e Cortes",100933,19307
União das freguesias de Marrazes e Barosa,100934,13214
União das freguesias de Monte Real e Carvide,100935,3186
União das freguesias de Monte Redondo e Carreira,100936,2847
União das freguesias de Parceiros e Azoia,100937,3775
União das freguesias de Santa Catarina da Serra e Chainça,100938,2299
União das freguesias de Santa Eufémia e Boa Vista,100939,2215
União das freguesias de Souto da Carpalhosa e Ortigosa,100940,2768
Marinha Grande,1010,22053
Marinha Grande,101001,17112
Moita,101003,583
Vieira de Leiria,101002,4358
Pedrógão Grande,1013,3569
Graça,101301,741
Pedrógão Grande,101302,2277
Vila Facaia,101303,551
Pombal,1015,33930
Abiul,101501,2054
Almagreira,101503,1835
Carnide,101504,938
Carriço,101505,1901
Louriçal,101506,2551
Meirinhas,101515,949
Pelariga,101508,1241
Pombal,101509,10476
Redinha,101510,1358
"União das freguesias de Guia, Ilha e Mata Mourisca",101518,3465
União das freguesias de Santiago e São Simão de Litém e Albergaria dos Doze,101519,4385
Vermoil,101513,1749
Vila Cã,101514,1028
Porto de Mós,1016,13221
Alqueidão da Serra,101602,1002
Calvaria de Cima,101605,1239
Juncal,101606,1660
Mira de Aire,101608,2227
Pedreiras,101609,1308
Porto de Mós - São João Baptista e São Pedro,101614,3327
São Bento,101610,556
Serro Ventoso,101613,501
União das freguesias de Alvados e Alcaria,101615,544
União das freguesias de Arrimal e Mendiga,101616,857
Viseu Dão Lafões,16G,172170
Aguiar da Beira,0901,5042
Carapito,090102,356
Cortiçada,090103,481
Dornelas,090105,558
Eirado,090106,197
Forninhos,090107,244
Pena Verde,090109,617
Pinheiro,090110,273
União das freguesias de Aguiar da Beira e Coruche,090114,1366
União das freguesias de Sequeiros e Gradiz,090115,432
União das freguesias de Souto de Aguiar da Beira e Valverde,090116,518
Carregal do Sal,1802,6737
Beijós,180201,690
Cabanas de Viriato,180202,1120
Carregal do Sal,180208,2231
Oliveira do Conde,180204,2118
Parada,180206,578
Castro Daire,1803,12927
Almofala,180301,286
Cabril,180303,424
Castro Daire,180304,3182
Cujó,180305,292
Gosende,180309,612
Mões,180312,1524
Moledo,180313,1103
Monteiras,180314,462
Pepim,180317,262
Pinheiro,180319,712
São Joaninho,180322,308
"União das freguesias de Mamouros, Alva e Ribolhos",180323,1017
União das freguesias de Mezio e Moura Morta,180324,492
União das freguesias de Parada de Ester e Ester,180325,862
União das freguesias de Picão e Ermida,180326,582
União das freguesias de Reriz e Gafanhão,180327,807
Mangualde,1806,12816
Abrunhosa-a-Velha,180601,384
Alcafache,180602,607
Cunha Baixa,180605,652
Espinho,180606,722
Fornos de Maceira Dão,180607,871
Freixiosa,180608,257
Quintela de Azurara,180614,379
São João da Fresta,180616,215
"União das freguesias de Mangualde, Mesquitela e Cunha Alta",180619,5980
União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato,180620,474
União das freguesias de Santiago de Cassurrães e Póvoa de Cervães,180621,987
"União das freguesias de Tavares (Chãs, Várzea e Travanca)",180622,1288
Nelas,1809,8872
Canas de Senhorim,180901,2089
Lapa do Lobo,180908,407
Nelas,180903,2822
Senhorim,180905,760
União das freguesias de Carvalhal Redondo e Aguieira,180910,1034
União das freguesias de Santar e Moreira,180911,1230
Vilar Seco,180906,530
Oliveira de Frades,1810,5986
Arcozelo das Maias,181002,738
Pinheiro,181005,768
Ribeiradio,181007,636
São João da Serra,181008,322
São Vicente de Lafões,181009,420
União das freguesias de Arca e Varzielas,181013,452
União das freguesias de Destriz e Reigoso,181014,415
"União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães",181015,2235
Penalva do Castelo,1811,5659
Castelo de Penalva,181102,657
Esmolfe,181103,317
Germil,181104,255
Ínsua,181105,1349
Lusinde,181106,173
Pindo,181109,1146
Real,181110,189
Sezures,181111,569
Trancozelos,181112,179
União das freguesias de Antas e Matela,181114,491
União das freguesias de Vila Cova do Covelo/Mareco,181115,334
Santa Comba Dão,1814,7166
Pinheiro de Ázere,181403,584
São Joaninho,181405,655
São João de Areias,181406,1318
União das freguesias de Ovoa e Vimieiro,181410,992
União das freguesias de Santa Comba Dão e Couto do Mosteiro,181411,2644
União das freguesias de Treixedo e Nagozela,181412,973
São Pedro do Sul,1816,11715
Bordonhos,181602,297
Figueiredo de Alva,181606,483
Manhouce,181607,393
Pindelo dos Milagres,181608,476
Pinho,181609,432
São Félix,181612,233
Serrazes,181615,688
Sul,181616,1148
União das freguesias de Carvalhais e Candal,181620,1096
União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões,181621,1031
União das freguesias de São Martinho das Moitas e Covas do Rio,181622,501
"União das freguesias de São Pedro do Sul, Várzea e Baiões",181623,3742
Valadares,181617,623
Vila Maior,181619,572
Sátão,1817,9476
Avelal,181702,295
Ferreira de Aves,181704,1771
Mioma,181706,829
Rio de Moinhos,181707,781
São Miguel de Vila Boa,181709,948
Sátão,181710,2714
Silvã de Cima,181711,410
União das freguesias de Águas Boas e Forles,181713,232
"União das freguesias de Romãs, Decermilo e Vila Longa",181714,1496
Tondela,1821,17595
Campo de Besteiros,182102,844
Canas de Santa Maria,182103,1101
Castelões,182105,1004
Dardavaz,182106,455
Ferreirós do Dão,182107,318
Guardão,182108,796
Lajeosa do Dão,182109,1216
Lobão da Beira,182110,666
Molelos,182111,1390
Parada de Gonta,182116,537
Santiago de Besteiros,182118,801
Tonda,182122,615
União das freguesias de Barreiro de Besteiros e Tourigo,182127,846
União das freguesias de Caparrosa e Silvares,182128,722
União das freguesias de Mouraz e Vila Nova da Rainha,182129,911
União das freguesias de São João do Monte e Mosteirinho,182130,652
União das freguesias de São Miguel do Outeiro e Sabugosa,182131,901
União das freguesias de Tondela e Nandufe,182132,2953
União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas,182133,867
Vila Nova de Paiva,1822,4654
Pendilhe,182203,478
Queiriga,182204,858
Touro,182205,737
"União das freguesias de Vila Nova de Paiva, Alhais e Fráguas",182208,1741
Vila Cova à Coelheira,182206,840
Viseu,1823,56802
Abraveses,182301,4206
Bodiosa,182304,1724
Calde,182305,1060
Campo,182306,2670
Cavernães,182307,811
Cota,182310,840
Coutos de Viseu,182337,1004
Fragosela,182315,1230
Freguesia de Fail e Vila Chã de Sá,182338,1327
Lordosa,182316,1098
Mundão,182318,1212
Orgens,182319,1700
Povolide,182320,1098
Ranhados,182321,2898
Repeses e São Salvador,182339,3285
Ribafeita,182322,810
Rio de Loba,182323,4386
Santos Evos,182325,879
São Cipriano e Vil de Souto,182340,1017
São João de Lourosa,182327,2317
São Pedro de France,182329,852
Silgueiros,182317,1996
União das freguesias de Barreiros e Cepões,182335,1208
"União das freguesias de Boa Aldeia, Farminhão e Torredeita",182336,1761
Viseu,182341,15413
Vouzela,1824,6723
Alcofra,182401,722
Campia,182403,876
Fornelo do Monte,182407,281
Queirã,182409,858
São Miguel do Mato,182410,587
União das freguesias de Cambra e Carvalhal de Vermilhas,182413,1069
União das freguesias de Fataunços e Figueiredo das Donas,182414,684
União das freguesias de Vouzela e Paços de Vilharigues,182415,1083
Ventosa,182411,563
Beira Baixa,16H,74030
Castelo Branco,0502,39666
Alcains,050201,3177
Almaceda,050202,628
Benquerenças,050203,706
Castelo Branco,050205,20539
Lardosa,050211,899
Louriçal do Campo,050212,602
Malpica do Tejo,050214,766
Monforte da Beira,050216,669
Salgueiro do Campo,050220,752
Santo André das Tojeiras,050221,982
São Vicente da Beira,050222,1353
Sarzedas,050223,1823
Tinalhas,050225,576
União das freguesias de Cebolais de Cima e Retaxo,050226,1341
União das freguesias de Escalos de Baixo e Mata,050227,1221
União das freguesias de Escalos de Cima e Lousa,050228,1205
União das freguesias de Freixial e Juncal do Campo,050229,812
União das freguesias de Ninho do Açor e Sobral do Campo,050230,785
União das freguesias de Póvoa de Rio de Moinhos e Cafede,050231,830
Idanha-a-Nova,0505,12353
Aldeia de Santa Margarida,050502,428
Ladoeiro,050505,1122
Medelim,050506,399
Oledo,050509,414
Penha Garcia,050510,1129
Proença-a-Velha,050511,354
Rosmaninhal,050512,1127
São Miguel de Acha,050514,607
Toulões,050516,412
União das freguesias de Idanha-a-Nova e Alcafozes,050518,2325
União das freguesias de Monfortinho e Salvaterra do Extremo,050519,1078
União das freguesias de Monsanto e Idanha-a-Velha,050520,1486
União das freguesias de Zebreira e Segura,050521,1472
Oleiros,0506,5055
Álvaro,050601,275
Cambas,050603,480
Estreito-Vilar Barroco,050613,880
Isna,050605,155
Madeirã,050606,191
Mosteiro,050607,303
Oleiros-Amieira,050614,1821
Orvalho,050609,555
Sarnadas de São Simão,050610,254
Sobral,050611,141
Penamacor,0507,6853
Aranhas,050704,476
Benquerença,050706,849
Meimão,050707,338
Meimoa,050708,419
Penamacor,050710,1555
Salvador,050711,570
"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires",050713,1540
União das freguesias de Pedrógão de São Pedro e Bemposta,050714,740
Vale da Senhora da Póvoa,050712,366
Proença-a-Nova,0508,6545
Montes da Senhora,050802,827
São Pedro do Esteval,050805,353
União das freguesias de Proença-a-Nova e Peral,050807,3191
União das freguesias de Sobreira Formosa e Alvito da Beira,050808,2174
Vila Velha de Ródão,0511,3558
Fratel,051101,874
Perais,051102,499
Sarnadas de Ródão,051103,577
Vila Velha de Ródão,051104,1608
Médio Tejo,16I,159802
Abrantes,1401,25180
Bemposta,140104,1301
Carvalhal,140119,676
Fontes,140118,697
Martinchel,140105,411
Mouriscas,140106,1496
Pego,140107,1577
Rio de Moinhos,140108,766
Tramagal,140115,1998
União das freguesias de Abrantes (São Vicente e São João) e Alferrarede,140120,9487
União das freguesias de Aldeia do Mato e Souto,140121,1112
União das freguesias de Alvega e Concavada,140122,1462
União das freguesias de São Facundo e Vale das Mós,140123,1116
União das freguesias de São Miguel do Rio Torto e Rossio ao Sul do Tejo,140124,3081
Alcanena,1402,8033
Bugalhos,140202,558
Minde,140206,1796
Moitas Venda,140207,608
Monsanto,140208,504
Serra de Santo António,140209,455
União das freguesias de Alcanena e Vila Moreira,140211,2850
"União das freguesias de Malhou, Louriceira e Espinheiro",140212,1262
Constância,1408,2232
Constância,140801,589
Montalvo,140802,649
Santa Margarida da Coutada,140803,994
Entroncamento,1410,10911
Nossa Senhora de Fátima,141002,6409
São João Baptista,141001,4502
Ferreira do Zêzere,1411,7516
Águas Belas,141101,934
Beco,141103,755
Chãos,141104,617
Ferreira do Zêzere,141106,1820
Igreja Nova do Sobral,141107,652
Nossa Senhora do Pranto,141110,1023
União das freguesias de Areias e Pias,141111,1715
Mação,1413,6706
Amêndoa,141302,607
Cardigos,141303,1094
Carvoeiro,141304,484
Envendos,141305,1049
Ortiga,141307,449
"União das freguesias de Mação, Penhascoso e Aboboreira",141309,3023
Ourém,1421,29967
Alburitel,142101,623
Atouguia,142102,1377
Caxarias,142104,1536
Espite,142105,1061
Fátima,142106,7219
Nossa Senhora da Piedade,142115,4228
Nossa Senhora das Misericórdias,142111,2766
Seiça,142113,1491
"União das freguesias de Freixianda, Ribeira do Fárrio e Formigais",142119,2809
União das freguesias de Gondemaria e Olival,142120,2202
União das freguesias de Matas e Cercal,142121,1086
União das freguesias de Rio de Couros e Casal dos Bernardos,142122,2214
Urqueira,142114,1355
Sardoal,1417,2892
Alcaravela,141701,665
Santiago de Montalegre,141702,288
Sardoal,141703,1573
Valhascos,141704,366
Sertã,0509,12081
Cabeçudo,050901,675
Carvalhal,050902,342
Castelo,050903,775
Pedrógão Pequeno,050911,674
Sertã,050912,4176
Troviscal,050913,721
"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais",050915,3090
União das freguesias de Cumeada e Marmeleiro,050916,615
União das freguesias de Ermida e Figueiredo,050917,370
Várzea dos Cavaleiros,050914,643
Tomar,1418,26124
Asseiceira,141802,1657
Carregueiros,141804,713
Olalhas,141808,1285
Paialvo,141809,1540
Sabacheira,141814,836
São Pedro de Tomar,141813,1919
União das freguesias de Além da Ribeira e Pedreira,141817,905
União das freguesias de Casais e Alviobeira,141818,2035
União das freguesias de Madalena e Beselga,141819,2402
União das freguesias de Serra e Junceira,141820,2385
União das freguesias de Tomar (São João Baptista) e Santa Maria dos Olivais,141821,10447
Torres Novas,1419,21015
Assentiz,141902,1919
Chancelaria,141904,1140
Meia Via,141917,846
Pedrógão,141909,1290
Riachos,141910,2557
"União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel",141918,1843
União das freguesias de Olaia e Paço,141919,1567
"União das freguesias de Torres Novas (Santa Maria, Salvador e Santiago)",141920,4608
"União das freguesias de Torres Novas (São Pedro), Lapas e Ribeira Branca",141921,4675
Zibreira,141916,570
Vila de Rei,0510,3041
Fundada,051001,646
São João do Peso,051002,180
Vila de Rei,051003,2215
Vila Nova da Barquinha,1420,4104
Atalaia,142001,899
Praia do Ribatejo,142002,1056
Tancos,142003,134
Vila Nova da Barquinha,142006,2015
Beiras e Serra da Estrela,16J,183284
Almeida,0902,6756
Almeida,090203,839
Castelo Bom,090207,206
Freineda,090209,236
Freixo,090210,163
Malhada Sorda,090213,544
Nave de Haver,090219,530
São Pedro de Rio Seco,090224,184
"União das freguesias de Amoreira, Parada e Cabreira",090230,427
"União das freguesias de Azinhal, Peva e Valverde",090231,293
"União das freguesias de Castelo Mendo, Ade, Monteperobolso e Mesquitela",090232,443
União das freguesias de Junça e Naves,090233,189
"União das freguesias de Leomil, Mido, Senouras e Aldeia Nova",090234,309
União das freguesias de Malpartida e Vale de Coelha,090235,223
União das freguesias de Miuzela e Porto de Ovelha,090236,648
Vale da Mula,090227,176
Vilar Formoso,090229,1346
Belmonte,0501,5086
Caria,050102,1474
Inguias,050104,635
Maçainhas,050105,321
União das freguesias de Belmonte e Colmeal da Torre,050106,2656
Celorico da Beira,0903,6323
Baraçal,090302,230
Carrapichana,090304,229
Casas do Soeiro,090322,288
Forno Telheiro,090306,510
Lajeosa do Mondego,090307,460
Linhares,090308,314
Maçal do Chão,090309,154
Mesquitela,090310,265
Minhocal,090311,159
Prados,090312,249
Ratoeira,090314,227
União das freguesias de Açores e Velosa,090323,371
União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,090324,1706
"União das freguesias de Cortiçô da Serra, Vide entre Vinhas e Salgueirais",090325,497
União das freguesias de Rapa e Cadafaz,090326,296
Vale de Azares,090318,368
Covilhã,0503,35680
Aldeia de São Francisco de Assis,050302,504
Boidobra,050305,1646
Cortes do Meio,050308,1098
Dominguizo,050309,688
Erada,050310,653
Ferro,050311,1194
Orjais,050312,547
Paul,050314,1174
Peraboa,050315,690
São Jorge da Beira,050318,659
Sobral de São Miguel,050322,491
Tortosendo,050324,3104
Unhais da Serra,050325,1025
União das freguesias de Barco e Coutada,050332,820
União das freguesias de Cantar-Galo e Vila do Carvalho,050333,2414
União das freguesias de Casegas e Ourondo,050334,924
União das freguesias de Covilhã e Canhoso,050335,12950
União das freguesias de Peso e Vales do Rio,050336,1066
União das freguesias de Teixoso e Sarzedo,050337,2667
União das freguesias de Vale Formoso e Aldeia do Souto,050338,643
Verdelhos,050327,723
Figueira de Castelo Rodrigo,0904,5476
Castelo Rodrigo,090403,261
Escalhão,090406,722
Figueira de Castelo Rodrigo,090408,1441
Mata de Lobos,090410,395
"União das freguesias de Algodres, Vale de Afonsinho e Vilar de Amargo",090418,643
União das freguesias de Almofala e Escarigo,090419,382
União das freguesias de Cinco Vilas e Reigada,090420,361
"União das freguesias de Freixeda do Torrão, Quintã de Pêro Martins e Penha de Águia",090421,541
União das freguesias do Colmeal e Vilar Torpim,090422,383
Vermiosa,090415,347
Fornos de Algodres,0905,3987
Algodres,090501,320
Casal Vasco,090502,199
Figueiró da Granja,090504,356
Fornos de Algodres,090505,983
Infias,090507,171
Maceira,090509,249
Matança,090510,220
Muxagata,090511,236
Queiriz,090512,206
União das freguesias de Cortiçô e Vila Chã,090517,197
"União das freguesias de Juncais, Vila Ruiva e Vila Soeiro do Chão",090518,551
União das freguesias de Sobral Pichorro e Fuinhas,090519,299
Fundão,0504,22531
Alcaide,050401,560
Alcaria,050402,779
Alcongosta,050403,387
Alpedrinha,050406,870
Barroca,050408,594
Bogas de Cima,050410,344
Capinha,050411,552
Castelejo,050412,550
Castelo Novo,050413,457
Enxames,050431,365
Fatela,050416,474
Lavacolhos,050419,276
Orca,050420,826
Pêro Viseu,050421,700
Silvares,050424,895
Soalheira,050425,727
Souto da Casa,050426,744
Telhado,050427,480
Três Povos,050432,898
"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo",050434,7951
União das freguesias de Janeiro de Cima e Bogas de Baixo,050433,606
União das freguesias de Póvoa de Atalaia e Atalaia do Campo,050435,1011
União das freguesias de Vale de Prazeres e Mata da Rainha,050436,1485
Gouveia,0906,11198
Arcozelo,090602,601
Cativelos,090603,684
Folgosinho,090605,549
Gouveia,090625,2296
Nespereira,090612,542
Paços da Serra,090613,443
Ribamondego,090614,263
São Paio,090617,683
União das freguesias de Aldeias e Mangualde da Serra,090623,506
União das freguesias de Figueiró da Serra e Freixo da Serra,090624,509
União das freguesias de Melo e Nabais,090626,823
União das freguesias de Moimenta da Serra e Vinhó,090627,809
União das freguesias de Rio Torto e Lagarinhos,090628,718
Vila Cortês da Serra,090619,250
Vila Franca da Serra,090620,230
Vila Nova de Tazem,090621,1292
Guarda,0907,28464
Adão,090766,378
Aldeia do Bispo,090703,120
Aldeia Viçosa,090704,410
Alvendre,090705,170
Arrifana,090706,333
Avelãs da Ribeira,090708,163
Benespera,090709,299
Casal de Cinza,090711,404
Castanheira,090712,398
Cavadoude,090713,229
Codesseiro,090714,172
Faia,090716,319
Famalicão,090717,494
Fernão Joanes,090718,273
Gonçalo,090757,935
Gonçalo Bocas,090721,157
Guarda,090758,14619
Jarmelo São Miguel,090759,273
Jarmelo São Pedro,090760,349
João Antão,090722,156
Maçainhas,090723,607
Marmeleiro,090724,503
Meios,090725,134
Panoias de Cima,090728,469
Pega,090729,340
Pêra do Moço,090730,582
Porto da Carne,090732,209
Ramela,090734,212
Santana da Azinha,090738,342
Sobral da Serra,090744,277
União de freguesias de Avelãs de Ambom e Rocamondo,090761,161
União de freguesias de Corujeira e Trinta,090762,466
"União de freguesias de Mizarela, Pêro Soares e Vila Soeiro",090763,317
União de freguesias de Pousade e Albardo,090764,412
União de freguesias de Rochoso e Monte Margarida,090765,363
Vale de Estrela,090746,218
Valhelhas,090747,405
Vela,090748,440
Videmonte,090749,365
Vila Cortês do Mondego,090750,180
Vila Fernando,090751,448
Vila Franca do Deão,090752,111
Vila Garcia,090753,252
Manteigas,0908,2756
Manteigas (Santa Maria),090802,1052
Manteigas (São Pedro),090803,1099
Sameiro,090801,299
Vale de Amoreira,090804,306
Mêda,0909,5065
Aveloso,090901,172
Barreira,090902,253
Coriscada,090905,298
Longroiva,090907,346
Marialva,090908,291
"Mêda, Outeiro de Gatos e Fonte Longa",090917,1884
Poço do Canto,090912,410
Prova e Casteição,090918,426
Rabaçal,090914,268
Ranhados,090915,317
"União das freguesias de Vale Flor, Carvalhal e Pai Penela",090919,400
Pinhel,0910,8107
Agregação das freguesias Sul de Pinhel,091028,405
Alto do Palurdo,091032,297
Alverca da Beira/Bouça Cova,091029,570
Ervedosa,091009,131
Freixedas,091010,842
Lamegal,091012,258
Lameiras,091013,241
Manigoto,091014,160
Pala,091015,436
Pinhel,091017,2148
Pínzio,091018,479
Souro Pires,091024,467
Terras de Massueime,091030,264
União das freguesias de Atalaia e Safurdão,091035,309
Valbom/Bogalhal,091031,237
Vale do Côa,091033,324
Vale do Massueime,091034,375
Vascoveiro,091027,164
Sabugal,0911,15668
Águas Belas,091101,276
Aldeia da Ponte,091103,506
Aldeia do Bispo,091102,355
Aldeia Velha,091106,543
Alfaiates,091107,721
Baraçal,091109,260
Bendada,091110,621
Bismula,091111,221
Casteleiro,091112,477
Cerdeira,091113,236
Fóios,091114,332
Malcata,091118,430
Nave,091120,387
Quadrazais,091123,754
