local,codigo,"População residente (N.º) nos alojamentos familiares clássicos por Local de residência à data dos Censos [2021] (NUTS - 2013), Época de construção (antes 1919; 2011-2021) e Tipo de entidade proprietária; Decenal"
Angeja,010203,1869
Branca,010204,5323
Ribeira de Fráguas,010206,1460
São João de Loure e Frossos,010210,2743
Anadia,0103,27002
Avelãs de Caminho,010304,1264
Avelãs de Cima,010305,1890
Moita,010307,2162
Sangalhos,010309,3737
São Lourenço do Bairro,010310,2284
"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",010316,2426
União das freguesias de Arcos e Mogofores,010317,6070
"União das freguesias de Tamengos, Aguim e Óis do Bairro",010318,3178
Vila Nova de Monsarros,010312,1543
Vilarinho do Bairro,010313,2448
Aveiro,0105,79716
Aradas,010501,9880
Cacia,010502,6783
Eixo e Eirol,010515,6155
Esgueira,010505,13407
Oliveirinha,010508,4512
"Requeixo, Nossa Senhora de Fátima e Nariz",010516,4327
Santa Joana,010513,7952
São Bernardo,010510,5197
São Jacinto,010511,757
União das freguesias de Glória e Vera Cruz,010517,20746
Estarreja,0108,25689
Avanca,010801,5622
Pardilhó,010805,4093
Salreu,010806,3578
União das freguesias de Beduído e Veiros,010808,9725
União das freguesias de Canelas e Fermelã,010809,2671
Ílhavo,0110,38578
Gafanha da Encarnação,011005,5313
Gafanha da Nazaré,011006,15476
Gafanha do Carmo,011007,1642
Ílhavo (São Salvador),011008,16147
Murtosa,0112,10355
Bunheiro,011201,2488
Monte,011202,1560
Murtosa,011203,3405
Torreira,011204,2902
Oliveira do Bairro,0114,22598
Oiã,011403,7636
Oliveira do Bairro,011404,6214
Palhaça,011405,2607
"União das freguesias de Bustos, Troviscal e Mamarrosa",011407,6141
Ovar,0115,54552
Cortegaça,011502,3694
Esmoriz,011503,11909
Maceda,011504,3323
"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã",011509,29172
Válega,011507,6454
Sever do Vouga,0117,10874
Couto de Esteves,011702,712
Pessegueiro do Vouga,011704,1656
Rocas do Vouga,011705,1473
Sever do Vouga,011706,2643
Talhadas,011708,1126
União das freguesias de Cedrim e Paradela,011710,1355
União das freguesias de Silva Escura e Dornelas,011711,1909
Vagos,0118,22607
Calvão,011801,2186
Gafanha da Boa Hora,011804,2844
Ouca,011805,1679
Santo André de Vagos,011810,2044
Sosa,011807,2784
União das freguesias de Fonte de Angeão e Covão do Lobo,011812,1995
União das freguesias de Ponte de Vagos e Santa Catarina,011813,2848
União das freguesias de Vagos e Santo António,011814,6227
Região de Coimbra,16E,427318
Arganil,0601,10686
Arganil,060102,3698
Benfeita,060104,391
Celavisa,060105,142
Folques,060109,298
Piódão,060111,120
Pomares,060112,431
Pombeiro da Beira,060113,858
São Martinho da Cortiça,060114,1188
Sarzedo,060115,608
Secarias,060116,391
União das freguesias de Cepos e Teixeira,060119,198
União das freguesias de Cerdeira e Moura da Serra,060120,345
União das freguesias de Côja e Barril de Alva,060121,1484
União das freguesias de Vila Cova de Alva e Anseriz,060122,534
Cantanhede,0602,33665
Ançã,060201,2449
Cadima,060203,2644
Cordinhã,060205,974
Febres,060207,2980
Murtede,060208,1241
Ourentã,060209,1119
Sanguinheira,060218,1753
São Caetano,060215,724
Tocha,060214,3637
União das freguesias de Cantanhede e Pocariça,060220,8721
União das freguesias de Covões e Camarneira,060221,2681
União das freguesias de Portunhos e Outil,060222,1754
União das freguesias de Sepins e Bolho,060223,1711
União das freguesias de Vilamar e Corticeiro de Cima,060224,1277
Coimbra,0603,138401
Almalaguês,060301,2816
Brasfemes,060309,1932
Ceira,060311,3244
Cernache,060312,3807
Santo António dos Olivais,060318,40801
São João do Campo,060320,1825
São Silvestre,060324,2766
Torres do Mondego,060329,2033
União das freguesias de Antuzede e Vil de Matos,060332,2842
União das freguesias de Assafarge e Antanhol,060333,4992
"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",060334,12862
União das freguesias de Eiras e São Paulo de Frades,060335,17395
União das freguesias de Santa Clara e Castelo Viegas,060336,11656
União das freguesias de São Martinho de Árvore e Lamarosa,060337,2715
União das freguesias de São Martinho do Bispo e Ribeira de Frades,060338,14982
União das freguesias de Souselas e Botão,060339,4145
"União das freguesias de Taveiro, Ameal e Arzila",060340,3997
União das freguesias de Trouxemil e Torre de Vilela,060341,3591
Condeixa-a-Nova,0604,16075
Anobra,060401,1249
Ega,060406,2501
Furadouro,060407,183
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova,060411,8201
União das freguesias de Sebal e Belide,060412,2731
União das freguesias de Vila Seca e Bem da Fé,060413,863
Zambujal,060410,347
Figueira da Foz,0605,57803
Alhadas,060519,4080
Alqueidão,060502,1459
Bom Sucesso,060515,1739
Buarcos e São Julião,060520,17940
Ferreira-a-Nova,060521,2105
Lavos,060522,3426
Maiorca,060507,2285
Marinha das Ondas,060508,3154
Moinhos da Gândara,060518,1087
Paião,060523,2615
Quiaios,060524,2743
São Pedro,060514,2500
Tavarede,060512,10003
Vila Verde,060513,2667
Góis,0606,3602
Alvares,060601,611
Góis,060604,1829
União das freguesias de Cadafaz e Colmeal,060606,280
Vila Nova do Ceira,060605,882
Lousã,0607,16842
Gândaras,060706,1104
Serpins,060704,1709
União das freguesias de Foz de Arouce e Casal de Ermio,060707,1263
União das freguesias de Lousã e Vilarinho,060708,12766
Mealhada,0111,19046
Barcouço,011102,2034
Casal Comba,011103,3023
Luso,011104,2257
Pampilhosa,011106,3825
"União das freguesias da Mealhada, Ventosa do Bairro e Antes",011109,6229
Vacariça,011107,1678
Mira,0608,11928
Carapelhos,060803,656
Mira,060801,6853
Praia de Mira,060804,3214
Seixo,060802,1205
Miranda do Corvo,0609,11435
Lamas,060901,771
Miranda do Corvo,060902,6715
União das freguesias de Semide e Rio Vide,060906,3157
Vila Nova,060905,792
Montemor-o-Velho,0610,24181
Arazede,061002,4917
Carapinheira,061003,2577
Ereira,061014,551
Liceia,061005,1051
Meãs do Campo,061006,1673
Pereira,061008,3501
Santo Varão,061009,1916
Seixo de Gatões,061010,1332
Tentúgal,061011,1986
"União das freguesias de Abrunheira, Verride e Vila Nova da Barca",061015,1249
União das freguesias de Montemor-o-Velho e Gatões,061016,3428
Mortágua,1808,8745
Cercosa,180802,284
Espinho,180804,984
Marmeleira,180805,411
Pala,180807,859
Sobral,180808,2120
Trezói,180809,339
"União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça",180811,3748
Oliveira do Hospital,0611,18837
Aldeia das Dez,061101,440
Alvoco das Várzeas,061102,265
Avô,061103,417
Bobadela,061104,692
Lagares,061106,1345
Lourosa,061109,555
Meruge,061110,489
Nogueira do Cravo,061111,2041
São Gião,061115,341
Seixo da Beira,061118,1368
Travanca de Lagos,061119,1124
União das freguesias de Ervedal e Vila Franca da Beira,061122,1228
União das freguesias de Lagos da Beira e Lajeosa,061123,1127
União das freguesias de Oliveira do Hospital e São Paio de Gramaços,061124,5668
União das freguesias de Penalva de Alva e São Sebastião da Feira,061125,927
União das freguesias de Santa Ovaia e Vila Pouca da Beira,061126,810
Pampilhosa da Serra,0612,3849
Cabril,061201,244
Dornelas do Zêzere,061202,562
Fajão-Vidual,061211,275
Janeiro de Baixo,061204,533
Pampilhosa da Serra,061206,1176
Pessegueiro,061207,187
Portela do Fojo-Machio,061212,452
Unhais-o-Velho,061209,420
Penacova,0613,12832
Carvalho,061301,677
Figueira de Lorvão,061302,2319
Lorvão,061304,3116
Penacova,061307,2744
Sazes do Lorvão,061310,696
União das freguesias de Friúmes e Paradela,061312,768
União das freguesias de Oliveira do Mondego e Travanca do Mondego,061313,955
União das freguesias de São Pedro de Alva e São Paio de Mondego,061314,1557
Penela,0614,5194
Cumeeira,061401,857
Espinhal,061402,668
Podentes,061403,470
"União das freguesias de São Miguel, Santa Eufémia e Rabaçal",061407,3199
Soure,0615,16813
Alfarelos,061501,1236
Figueiró do Campo,061504,1288
Granja do Ulmeiro,061506,1672
Samuel,061508,1043
Soure,061509,7192
Tapéus,061510,326
União das freguesias de Degracias e Pombalinho,061513,1049
União das freguesias de Gesteira e Brunhós,061514,918
Vila Nova de Anços,061511,914
Vinha da Rainha,061512,1175
Tábua,0616,10821
Candosa,061602,531
Carapinha,061603,366
Midões,061608,1526
Mouronho,061609,751
Póvoa de Midões,061611,500
São João da Boa Vista,061612,393
Tábua,061614,3469
União das freguesias de Ázere e Covelo,061616,754
União das freguesias de Covas e Vila Nova de Oliveirinha,061617,1232
União das freguesias de Espariz e Sinde,061618,856
União das freguesias de Pinheiro de Coja e Meda de Mouros,061619,443
Vila Nova de Poiares,0617,6563
Arrifana,061701,1217
Lavegadas,061702,174
Poiares (Santo André),061703,3933
São Miguel de Poiares,061704,1239
Região de Leiria,16F,281677
Alvaiázere,1002,6024
Almoster,100201,597
Alvaiázere,100208,1697
Maçãs de Dona Maria,100204,1398
Pelmá,100205,637
Pussos São Pedro,100209,1695
Ansião,1003,11315
Alvorge,100301,959
Ansião,100309,3453
Avelar,100303,1882
Chão de Couce,100304,1616
Pousaflores,100306,802
Santiago da Guarda,100307,2603
Batalha,1004,15427
Batalha,100401,8772
Golpilheira,100404,1447
Reguengo do Fetal,100402,1826
São Mamede,100403,3382
Castanheira de Pêra,1007,2534
União das freguesias de Castanheira de Pêra e Coentral,100703,2534
Figueiró dos Vinhos,1008,5153
Aguda,100801,909
Arega,100802,691
Campelo,100803,189
União das freguesias de Figueiró dos Vinhos e Bairradas,100806,3364
Leiria,1009,126353
Amor,100901,4450
Arrabal,100902,2493
Bajouca,100925,1895
Bidoeira de Cima,100926,2200
Caranguejeira,100907,4268
Coimbrão,100909,1673
Maceira,100913,9035
Milagres,100915,2829
Regueira de Pontes,100921,2073
União das freguesias de Colmeias e Memória,100932,3632
"União das freguesias de Leiria, Pousos, Barreira e Cortes",100933,33867
União das freguesias de Marrazes e Barosa,100934,25987
União das freguesias de Monte Real e Carvide,100935,5418
União das freguesias de Monte Redondo e Carreira,100936,5122
União das freguesias de Parceiros e Azoia,100937,7481
União das freguesias de Santa Catarina da Serra e Chainça,100938,4454
União das freguesias de Santa Eufémia e Boa Vista,100939,3987
União das freguesias de Souto da Carpalhosa e Ortigosa,100940,5489
Marinha Grande,1010,38637
Marinha Grande,101001,31993
Moita,101003,1296
Vieira de Leiria,101002,5348
Pedrógão Grande,1013,3268
Graça,101301,598
Pedrógão Grande,101302,2137
Vila Facaia,101303,533
Pombal,1015,50135
Abiul,101501,2169
Almagreira,101503,2692
Carnide,101504,1568
Carriço,101505,3274
Louriçal,101506,4124
Meirinhas,101515,1649
Pelariga,101508,1978
Pombal,101509,16696
Redinha,101510,1863
"União das freguesias de Guia, Ilha e Mata Mourisca",101518,5894
União das freguesias de Santiago e São Simão de Litém e Albergaria dos Doze,101519,4503
Vermoil,101513,2387
Vila Cã,101514,1338
Porto de Mós,1016,22831
Alqueidão da Serra,101602,1505
Calvaria de Cima,101605,2460
Juncal,101606,3107
Mira de Aire,101608,3437
Pedreiras,101609,2477
Porto de Mós - São João Baptista e São Pedro,101614,5942
São Bento,101610,744
Serro Ventoso,101613,892
União das freguesias de Alvados e Alcaria,101615,700
União das freguesias de Arrimal e Mendiga,101616,1567
Viseu Dão Lafões,16G,247103
Aguiar da Beira,0901,4847
Carapito,090102,423
Cortiçada,090103,314
Dornelas,090105,517
Eirado,090106,181
Forninhos,090107,208
Pena Verde,090109,692
Pinheiro,090110,204
União das freguesias de Aguiar da Beira e Coruche,090114,1600
União das freguesias de Sequeiros e Gradiz,090115,345
União das freguesias de Souto de Aguiar da Beira e Valverde,090116,363
Carregal do Sal,1802,8861
Beijós,180201,814
Cabanas de Viriato,180202,1367
Carregal do Sal,180208,3170
Oliveira do Conde,180204,2769
Parada,180206,741
Castro Daire,1803,13480
Almofala,180301,222
Cabril,180303,335
Castro Daire,180304,4415
Cujó,180305,245
Gosende,180309,368
Mões,180312,1686
Moledo,180313,1049
Monteiras,180314,404
Pepim,180317,245
Pinheiro,180319,643
São Joaninho,180322,306
"União das freguesias de Mamouros, Alva e Ribolhos",180323,1188
União das freguesias de Mezio e Moura Morta,180324,532
União das freguesias de Parada de Ester e Ester,180325,703
União das freguesias de Picão e Ermida,180326,415
União das freguesias de Reriz e Gafanhão,180327,724
Mangualde,1806,18022
Abrunhosa-a-Velha,180601,437
Alcafache,180602,811
Cunha Baixa,180605,801
Espinho,180606,951
Fornos de Maceira Dão,180607,1307
Freixiosa,180608,205
Quintela de Azurara,180614,506
São João da Fresta,180616,169
"União das freguesias de Mangualde, Mesquitela e Cunha Alta",180619,9654
União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato,180620,727
União das freguesias de Santiago de Cassurrães e Póvoa de Cervães,180621,1174
"União das freguesias de Tavares (Chãs, Várzea e Travanca)",180622,1280
Nelas,1809,12767
Canas de Senhorim,180901,3281
Lapa do Lobo,180908,614
Nelas,180903,4429
Senhorim,180905,1019
União das freguesias de Carvalhal Redondo e Aguieira,180910,1371
União das freguesias de Santar e Moreira,180911,1385
Vilar Seco,180906,668
Oliveira de Frades,1810,9416
Arcozelo das Maias,181002,1223
Pinheiro,181005,1115
Ribeiradio,181007,831
São João da Serra,181008,409
São Vicente de Lafões,181009,748
União das freguesias de Arca e Varzielas,181013,559
União das freguesias de Destriz e Reigoso,181014,587
"União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães",181015,3944
Penalva do Castelo,1811,7035
Castelo de Penalva,181102,741
Esmolfe,181103,382
Germil,181104,374
Ínsua,181105,1950
Lusinde,181106,190
Pindo,181109,1690
Real,181110,244
Sezures,181111,606
Trancozelos,181112,247
União das freguesias de Antas e Matela,181114,361
União das freguesias de Vila Cova do Covelo/Mareco,181115,250
Santa Comba Dão,1814,10352
Pinheiro de Ázere,181403,830
São Joaninho,181405,915
São João de Areias,181406,1649
União das freguesias de Ovoa e Vimieiro,181410,1466
União das freguesias de Santa Comba Dão e Couto do Mosteiro,181411,4303
União das freguesias de Treixedo e Nagozela,181412,1189
São Pedro do Sul,1816,14880
Bordonhos,181602,508
Figueiredo de Alva,181606,721
Manhouce,181607,465
Pindelo dos Milagres,181608,571
Pinho,181609,654
São Félix,181612,365
Serrazes,181615,889
Sul,181616,878
União das freguesias de Carvalhais e Candal,181620,1387
União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões,181621,1382
União das freguesias de São Martinho das Moitas e Covas do Rio,181622,258
"União das freguesias de São Pedro do Sul, Várzea e Baiões",181623,5346
Valadares,181617,641
Vila Maior,181619,815
Sátão,1817,10627
Avelal,181702,375
Ferreira de Aves,181704,1775
Mioma,181706,1058
Rio de Moinhos,181707,770
São Miguel de Vila Boa,181709,1226
Sátão,181710,3760
Silvã de Cima,181711,425
União das freguesias de Águas Boas e Forles,181713,208
"União das freguesias de Romãs, Decermilo e Vila Longa",181714,1030
Tondela,1821,25394
Campo de Besteiros,182102,1305
Canas de Santa Maria,182103,1553
Castelões,182105,1387
Dardavaz,182106,703
Ferreirós do Dão,182107,342
Guardão,182108,1006
Lajeosa do Dão,182109,1534
Lobão da Beira,182110,1000
Molelos,182111,2225
Parada de Gonta,182116,619
Santiago de Besteiros,182118,1141
Tonda,182122,893
União das freguesias de Barreiro de Besteiros e Tourigo,182127,1200
União das freguesias de Caparrosa e Silvares,182128,803
União das freguesias de Mouraz e Vila Nova da Rainha,182129,1293
União das freguesias de São João do Monte e Mosteirinho,182130,780
União das freguesias de São Miguel do Outeiro e Sabugosa,182131,1214
União das freguesias de Tondela e Nandufe,182132,5051
União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas,182133,1345
Vila Nova de Paiva,1822,4464
Pendilhe,182203,468
Queiriga,182204,498
Touro,182205,793
"União das freguesias de Vila Nova de Paiva, Alhais e Fráguas",182208,1815
Vila Cova à Coelheira,182206,890
Viseu,1823,97513
Abraveses,182301,8232
Bodiosa,182304,2815
Calde,182305,1223
Campo,182306,4753
Cavernães,182307,1306
Cota,182310,743
Coutos de Viseu,182337,1423
Fragosela,182315,2502
Freguesia de Fail e Vila Chã de Sá,182338,2512
Lordosa,182316,1602
Mundão,182318,2410
Orgens,182319,3608
Povolide,182320,1560
Ranhados,182321,5748
Repeses e São Salvador,182339,6661
Ribafeita,182322,1006
Rio de Loba,182323,8896
Santos Evos,182325,1446
São Cipriano e Vil de Souto,182340,1699
São João de Lourosa,182327,4428
São Pedro de France,182329,1154
Silgueiros,182317,2873
União das freguesias de Barreiros e Cepões,182335,1363
"União das freguesias de Boa Aldeia, Farminhão e Torredeita",182336,2246
Viseu,182341,25304
Vouzela,1824,9445
Alcofra,182401,910
Campia,182403,1404
Fornelo do Monte,182407,256
Queirã,182409,1227
São Miguel do Mato,182410,808
União das freguesias de Cambra e Carvalhal de Vermilhas,182413,1318
União das freguesias de Fataunços e Figueiredo das Donas,182414,988
União das freguesias de Vouzela e Paços de Vilharigues,182415,1857
Ventosa,182411,677
Beira Baixa,16H,78201
Castelo Branco,0502,50979
Alcains,050201,4497
Almaceda,050202,476
Benquerenças,050203,637
Castelo Branco,050205,33691
Lardosa,050211,855
Louriçal do Campo,050212,538
Malpica do Tejo,050214,361
Monforte da Beira,050216,319
Salgueiro do Campo,050220,710
Santo André das Tojeiras,050221,588
São Vicente da Beira,050222,926
Sarzedas,050223,981
Tinalhas,050225,497
União das freguesias de Cebolais de Cima e Retaxo,050226,1565
União das freguesias de Escalos de Baixo e Mata,050227,990
União das freguesias de Escalos de Cima e Lousa,050228,1256
União das freguesias de Freixial e Juncal do Campo,050229,640
União das freguesias de Ninho do Açor e Sobral do Campo,050230,622
União das freguesias de Póvoa de Rio de Moinhos e Cafede,050231,830
Idanha-a-Nova,0505,7961
Aldeia de Santa Margarida,050502,190
Ladoeiro,050505,1038
Medelim,050506,200
Oledo,050509,281
Penha Garcia,050510,533
Proença-a-Velha,050511,172
Rosmaninhal,050512,416
São Miguel de Acha,050514,499
Toulões,050516,226
União das freguesias de Idanha-a-Nova e Alcafozes,050518,2233
União das freguesias de Monfortinho e Salvaterra do Extremo,050519,508
União das freguesias de Monsanto e Idanha-a-Velha,050520,709
União das freguesias de Zebreira e Segura,050521,956
Oleiros,0506,4683
Álvaro,050601,226
Cambas,050603,254
Estreito-Vilar Barroco,050613,814
Isna,050605,151
Madeirã,050606,154
Mosteiro,050607,260
Oleiros-Amieira,050614,1987
Orvalho,050609,530
Sarnadas de São Simão,050610,167
Sobral,050611,140
Penamacor,0507,4603
Aranhas,050704,320
Benquerença,050706,461
Meimão,050707,238
Meimoa,050708,307
Penamacor,050710,1310
Salvador,050711,320
"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires",050713,881
União das freguesias de Pedrógão de São Pedro e Bemposta,050714,566
Vale da Senhora da Póvoa,050712,200
Proença-a-Nova,0508,6956
Montes da Senhora,050802,625
São Pedro do Esteval,050805,406
União das freguesias de Proença-a-Nova e Peral,050807,4302
União das freguesias de Sobreira Formosa e Alvito da Beira,050808,1623
Vila Velha de Ródão,0511,3019
Fratel,051101,469
Perais,051102,427
Sarnadas de Ródão,051103,478
Vila Velha de Ródão,051104,1645
Médio Tejo,16I,221400
Abrantes,1401,33656
Bemposta,140104,1441
Carvalhal,140119,531
Fontes,140118,467
Martinchel,140105,487
Mouriscas,140106,1416
Pego,140107,2101
Rio de Moinhos,140108,940
Tramagal,140115,2802
União das freguesias de Abrantes (São Vicente e São João) e Alferrarede,140120,15767
União das freguesias de Aldeia do Mato e Souto,140121,663
União das freguesias de Alvega e Concavada,140122,1754
União das freguesias de São Facundo e Vale das Mós,140123,1242
União das freguesias de São Miguel do Rio Torto e Rossio ao Sul do Tejo,140124,4045
Alcanena,1402,12261
Bugalhos,140202,963
Minde,140206,2796
Moitas Venda,140207,781
Monsanto,140208,697
Serra de Santo António,140209,633
União das freguesias de Alcanena e Vila Moreira,140211,4762
"União das freguesias de Malhou, Louriceira e Espinheiro",140212,1629
Constância,1408,3623
Constância,140801,920
Montalvo,140802,1234
Santa Margarida da Coutada,140803,1469
Entroncamento,1410,19882
Nossa Senhora de Fátima,141002,12601
São João Baptista,141001,7281
Ferreira do Zêzere,1411,7581
Águas Belas,141101,1139
Beco,141103,753
Chãos,141104,465
Ferreira do Zêzere,141106,2223
Igreja Nova do Sobral,141107,542
Nossa Senhora do Pranto,141110,981
União das freguesias de Areias e Pias,141111,1478
Mação,1413,6077
Amêndoa,141302,366
Cardigos,141303,909
Carvoeiro,141304,480
Envendos,141305,743
Ortiga,141307,484
"União das freguesias de Mação, Penhascoso e Aboboreira",141309,3095
Ourém,1421,41849
Alburitel,142101,985
Atouguia,142102,2075
Caxarias,142104,2104
Espite,142105,946
Fátima,142106,11457
Nossa Senhora da Piedade,142115,7010
Nossa Senhora das Misericórdias,142111,4518
Seiça,142113,1839
"União das freguesias de Freixianda, Ribeira do Fárrio e Formigais",142119,3054
União das freguesias de Gondemaria e Olival,142120,2666
União das freguesias de Matas e Cercal,142121,1573
União das freguesias de Rio de Couros e Casal dos Bernardos,142122,2252
Urqueira,142114,1370
Sardoal,1417,3345
Alcaravela,141701,766
Santiago de Montalegre,141702,206
Sardoal,141703,2010
Valhascos,141704,363
Sertã,0509,14517
Cabeçudo,050901,907
Carvalhal,050902,491
Castelo,050903,914
Pedrógão Pequeno,050911,706
Sertã,050912,5907
Troviscal,050913,693
"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais",050915,3305
União das freguesias de Cumeada e Marmeleiro,050916,629
União das freguesias de Ermida e Figueiredo,050917,338
Várzea dos Cavaleiros,050914,627
Tomar,1418,35608
Asseiceira,141802,2407
Carregueiros,141804,1067
Olalhas,141808,1201
Paialvo,141809,2160
Sabacheira,141814,831
São Pedro de Tomar,141813,2596
União das freguesias de Além da Ribeira e Pedreira,141817,1031
União das freguesias de Casais e Alviobeira,141818,2515
União das freguesias de Madalena e Beselga,141819,3394
União das freguesias de Serra e Junceira,141820,1816
União das freguesias de Tomar (São João Baptista) e Santa Maria dos Olivais,141821,16590
Torres Novas,1419,33307
Assentiz,141902,2575
Chancelaria,141904,1394
Meia Via,141917,1594
Pedrógão,141909,1715
Riachos,141910,4849
"União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel",141918,2555
União das freguesias de Olaia e Paço,141919,2021
"União das freguesias de Torres Novas (Santa Maria, Salvador e Santiago)",141920,7805
"União das freguesias de Torres Novas (São Pedro), Lapas e Ribeira Branca",141921,7913
Zibreira,141916,886
Vila de Rei,0510,2860
Fundada,051001,491
São João do Peso,051002,94
Vila de Rei,051003,2275
Vila Nova da Barquinha,1420,6834
Atalaia,142001,1710
Praia do Ribatejo,142002,1330
Tancos,142003,183
Vila Nova da Barquinha,142006,3611
Beiras e Serra da Estrela,16J,202515
Almeida,0902,5487
Almeida,090203,1065
Castelo Bom,090207,131
Freineda,090209,176
Freixo,090210,164
Malhada Sorda,090213,198
Nave de Haver,090219,248
São Pedro de Rio Seco,090224,139
"União das freguesias de Amoreira, Parada e Cabreira",090230,282
"União das freguesias de Azinhal, Peva e Valverde",090231,191
"União das freguesias de Castelo Mendo, Ade, Monteperobolso e Mesquitela",090232,208
União das freguesias de Junça e Naves,090233,171
"União das freguesias de Leomil, Mido, Senouras e Aldeia Nova",090234,153
União das freguesias de Malpartida e Vale de Coelha,090235,159
União das freguesias de Miuzela e Porto de Ovelha,090236,280
Vale da Mula,090227,160
Vilar Formoso,090229,1762
Belmonte,0501,6014
Caria,050102,1700
Inguias,050104,594
Maçainhas,050105,300
União das freguesias de Belmonte e Colmeal da Torre,050106,3420
Celorico da Beira,0903,6358
Baraçal,090302,194
Carrapichana,090304,180
Casas do Soeiro,090322,468
Forno Telheiro,090306,577
Lajeosa do Mondego,090307,584
Linhares,090308,202
Maçal do Chão,090309,143
Mesquitela,090310,200
Minhocal,090311,142
Prados,090312,129
Ratoeira,090314,217
União das freguesias de Açores e Velosa,090323,417
União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,090324,2006
"União das freguesias de Cortiçô da Serra, Vide entre Vinhas e Salgueirais",090325,362
União das freguesias de Rapa e Cadafaz,090326,222
Vale de Azares,090318,315
Covilhã,0503,45231
Aldeia de São Francisco de Assis,050302,435
Boidobra,050305,3167
Cortes do Meio,050308,723
Dominguizo,050309,978
Erada,050310,575
Ferro,050311,1526
Orjais,050312,663
Paul,050314,1302
Peraboa,050315,762
São Jorge da Beira,050318,461
Sobral de São Miguel,050322,271
Tortosendo,050324,5156
Unhais da Serra,050325,1021
União das freguesias de Barco e Coutada,050332,698
União das freguesias de Cantar-Galo e Vila do Carvalho,050333,3189
União das freguesias de Casegas e Ourondo,050334,555
União das freguesias de Covilhã e Canhoso,050335,17718
União das freguesias de Peso e Vales do Rio,050336,1183
União das freguesias de Teixoso e Sarzedo,050337,3768
União das freguesias de Vale Formoso e Aldeia do Souto,050338,614
Verdelhos,050327,466
Figueira de Castelo Rodrigo,0904,4819
Castelo Rodrigo,090403,362
Escalhão,090406,523
Figueira de Castelo Rodrigo,090408,1952
Mata de Lobos,090410,245
"União das freguesias de Algodres, Vale de Afonsinho e Vilar de Amargo",090418,363
União das freguesias de Almofala e Escarigo,090419,180
União das freguesias de Cinco Vilas e Reigada,090420,291
"União das freguesias de Freixeda do Torrão, Quintã de Pêro Martins e Penha de Águia",090421,373
União das freguesias do Colmeal e Vilar Torpim,090422,196
Vermiosa,090415,334
Fornos de Algodres,0905,4204
Algodres,090501,290
Casal Vasco,090502,170
Figueiró da Granja,090504,344
Fornos de Algodres,090505,1360
Infias,090507,262
Maceira,090509,221
Matança,090510,193
Muxagata,090511,214
Queiriz,090512,216
União das freguesias de Cortiçô e Vila Chã,090517,166
"União das freguesias de Juncais, Vila Ruiva e Vila Soeiro do Chão",090518,541
União das freguesias de Sobral Pichorro e Fuinhas,090519,227
Fundão,0504,25757
Alcaide,050401,583
Alcaria,050402,1076
Alcongosta,050403,416
Alpedrinha,050406,886
Barroca,050408,378
Bogas de Cima,050410,308
Capinha,050411,401
Castelejo,050412,562
Castelo Novo,050413,353
Enxames,050431,429
Fatela,050416,456
Lavacolhos,050419,175
Orca,050420,537
Pêro Viseu,050421,644
Silvares,050424,924
Soalheira,050425,799
Souto da Casa,050426,728
Telhado,050427,558
Três Povos,050432,708
"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo",050434,12238
União das freguesias de Janeiro de Cima e Bogas de Baixo,050433,411
União das freguesias de Póvoa de Atalaia e Atalaia do Campo,050435,997
União das freguesias de Vale de Prazeres e Mata da Rainha,050436,1190
Gouveia,0906,11554
Arcozelo,090602,535
Cativelos,090603,596
Folgosinho,090605,398
Gouveia,090625,2954
Nespereira,090612,625
Paços da Serra,090613,502
Ribamondego,090614,226
São Paio,090617,660
União das freguesias de Aldeias e Mangualde da Serra,090623,405
União das freguesias de Figueiró da Serra e Freixo da Serra,090624,347
União das freguesias de Melo e Nabais,090626,733
União das freguesias de Moimenta da Serra e Vinhó,090627,965
União das freguesias de Rio Torto e Lagarinhos,090628,729
Vila Cortês da Serra,090619,202
Vila Franca da Serra,090620,237
Vila Nova de Tazem,090621,1440
Guarda,0907,38665
Adão,090766,247
Aldeia do Bispo,090703,198
Aldeia Viçosa,090704,242
Alvendre,090705,186
Arrifana,090706,510
Avelãs da Ribeira,090708,142
Benespera,090709,252
Casal de Cinza,090711,483
Castanheira,090712,268
Cavadoude,090713,243
Codesseiro,090714,160
Faia,090716,180
Famalicão,090717,458
Fernão Joanes,090718,164
Gonçalo,090757,960
Gonçalo Bocas,090721,204
Guarda,090758,25650
Jarmelo São Miguel,090759,276
Jarmelo São Pedro,090760,276
João Antão,090722,126
Maçainhas,090723,977
Marmeleiro,090724,297
Meios,090725,150
