local,codigo,"População residente (N.º) nos alojamentos familiares clássicos por Local de residência à data dos Censos [2021] (NUTS - 2013), Época de construção (antes 1919; 2011-2021) e Tipo de entidade proprietária; Decenal"
União das freguesias de Areias de Vilar e Encourados,030292,1540
"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",030293,10720
União das freguesias de Campo e Tamel (São Pedro Fins),030294,1509
União das freguesias de Carreira e Fonte Coberta,030295,2022
"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",030296,2454
União das freguesias de Creixomil e Mariz,030297,1111
União das freguesias de Durrães e Tregosa,030298,1336
União das freguesias de Gamil e Midões,030299,1377
"União das freguesias de Milhazes, Vilar de Figos e Faria",0302FA,1993
União das freguesias de Negreiros e Chavão,0302FB,2203
União das freguesias de Quintiães e Aguiar,0302FC,1080
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),0302FD,1808
União das freguesias de Silveiros e Rio Covo (Santa Eulália),0302FE,2071
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,0302FF,1269
"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",0302FG,3737
União das freguesias de Vila Cova e Feitos,0302FH,2409
Várzea,030283,1934
Vila Seca,030287,1063
Braga,0303,190774
Adaúfe,030301,3582
Braga (São Vicente),030349,13704
Braga (São Vítor),030351,32509
Espinho,030312,1037
Esporões,030313,1712
Figueiredo,030315,1150
Gualtar,030319,6749
Lamas,030322,852
Mire de Tibães,030325,2326
Padim da Graça,030330,1416
Palmeira,030331,5664
Pedralva,030334,1060
Priscos,030336,1256
Ruilhe,030338,1005
Sequeira,030354,1741
Sobreposta,030355,1244
Tadim,030356,1253
Tebosa,030357,1081
União das freguesias de Arentim e Cunha,030363,1392
"União das freguesias de Braga (Maximinos, Sé e Cividade)",030364,14891
União das freguesias de Braga (São José de São Lázaro e São João do Souto),030365,14249
União das freguesias de Cabreiros e Passos (São Julião),030366,2056
"União das freguesias de Celeirós, Aveleda e Vimieiro",030367,6705
União das freguesias de Crespos e Pousada,030368,1231
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),030369,1807
União das freguesias de Este (São Pedro e São Mamede),030370,4066
União das freguesias de Ferreiros e Gondizalves,030371,9924
União das freguesias de Guisande e Oliveira (São Pedro),030372,1072
União das freguesias de Lomar e Arcos,030373,7245
"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",030374,5252
União das freguesias de Merelim (São Pedro) e Frossos,030375,3845
União das freguesias de Morreira e Trandeiras,030376,1364
"União das freguesias de Nogueira, Fraião e Lamaçães",030377,14772
União das freguesias de Nogueiró e Tenões,030378,5515
"União das freguesias de Real, Dume e Semelhe",030379,13587
União das freguesias de Santa Lucrécia de Algeriz e Navarra,030380,908
União das freguesias de Vilaça e Fradelos,030381,1552
Esposende,0306,34894
Antas,030601,2176
Forjães,030608,2598
Gemeses,030610,1113
União das freguesias de Apúlia e Fão,030616,7680
União das freguesias de Belinho e Mar,030617,2896
"União das freguesias de Esposende, Marinhas e Gandra",030618,12241
União das freguesias de Fonte Boa e Rio Tinto,030619,1838
União das freguesias de Palmeira de Faro e Curvos,030620,3097
Vila Chã,030615,1255
Terras de Bouro,0310,6182
Balança,031001,307
Campo do Gerês,031003,149
Carvalheira,031004,291
Covide,031008,255
Gondoriz,031009,296
Moimenta,031010,737
Ribeira,031012,212
Rio Caldo,031013,749
Souto,031014,461
União das freguesias de Chamoim e Vilar,031018,349
União das freguesias de Chorense e Monte,031019,537
União das freguesias de Cibões e Brufe,031020,294
Valdosende,031015,530
Vilar da Veiga,031017,1015
Vila Verde,0313,45686
Aboim da Nóbrega e Gondomar,031359,867
Atiães,031304,491
Cabanelas,031308,1852
Cervães,031309,1856
Coucieiro,031311,526
Dossãos,031313,424
Freiriz,031316,1013
Gême,031317,516
Lage,031323,3027
Lanhas,031324,586
Loureira,031325,1104
Moure,031328,1372
Oleiros,031330,1189
Parada de Gatim,031331,707
Pico,031335,516
Ponte,031337,452
Prado (São Miguel),031350,653
Sabariz,031340,448
Soutelo,031352,2116
Turiz,031354,1843
União das freguesias da Ribeira do Neiva,031360,3331
União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago),031361,832
União das freguesias de Escariz (São Mamede) e Escariz (São Martinho),031362,709
"União das freguesias de Esqueiros, Nevogilde e Travassós",031363,922
União das freguesias de Marrancos e Arcozelo,031364,823
União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel),031365,509
"União das freguesias de Pico de Regalados, Gondiães e Mós",031366,1553
