local,codigo,Edifícios concluídos
Povoação,2004204,13
Ribeira Grande,2004205,110
Santa Cruz da Graciosa,2004401,12
Santa Cruz das Flores,2004802,10
São Roque do Pico,2004603,22
Velas,2004502,20
Vila da Praia da Vitória,2004302,55
Vila do Porto,2004101,21
Vila Franca do Campo,2004206,28
Região Autónoma da Madeira,3,472
Região Autónoma da Madeira,30,472
Região Autónoma da Madeira,300,472
Calheta,3003101,37
Câmara de Lobos,3003102,50
Funchal,3003103,178
Machico,3003104,49
Ponta do Sol,3003105,37
Porto Moniz,3003106,3
Porto Santo,3003201,15
Ribeira Brava,3003107,4
Santa Cruz,3003108,61
Santana,3003109,12
São Vicente,3003110,26
