local,codigo,Densidade de alojamentos
União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,110118,65.3
União das freguesias de Alenquer (Santo Estêvão e Triana),110119,117.7
União das freguesias de Carregado e Cadafais,110120,271.0
União das freguesias de Ribafria e Pereiro de Palhacana,110121,56.8
Ventosa,110113,64.1
Vila Verde dos Francos,110114,25.5
Arruda dos Vinhos,1102,86.1
Arranhó,110201,61.8
Arruda dos Vinhos,110202,124.3
Cardosas,110203,73.7
S. Tiago dos Velhos,110204,41.5
Bombarral,1005,88.6
Carvalhal,100502,54.7
Pó,100505,75.9
Roliça,100503,75.1
União das freguesias do Bombarral e Vale Covo,100506,139.0
Cadaval,1104,50.5
Alguber,110401,29.5
Peral,110407,39.9
União das freguesias de Lamas e Cercal,110412,40.6
União das freguesias de Painho e Figueiros,110413,85.4
União das freguesias do Cadaval e Pêro Moniz,110411,55.6
Vermelha,110409,72.0
Vilar,110410,63.6
Caldas da Rainha,1006,123.8
A dos Francos,100601,51.6
Alvorninha,100602,43.6
Carvalhal Benfeito,100604,46.4
Foz do Arelho,100606,183.0
Landal,100607,55.2
Nadadouro,100608,127.5
Salir de Matos,100609,59.3
Santa Catarina,100611,72.6
"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",100617,348.7
União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro,100618,251.7
União das freguesias de Tornada e Salir do Porto,100619,102.6
Vidais,100615,37.2
Lourinhã,1108,120.9
Moita dos Ferreiros,110803,44.7
Reguengo Grande,110805,69.1
Ribamar,110810,214.1
Santa Bárbara,110806,144.0
União das freguesias de Lourinhã e Atalaia,110812,193.8
União das freguesias de Miragaia e Marteleira,110813,112.0
União das freguesias de São Bartolomeu dos Galegos e Moledo,110814,53.5
Vimeiro,110808,135.0
Nazaré,1011,166.7
Famalicão,101101,58.3
Nazaré,101102,258.1
Valado dos Frades,101103,85.4
Óbidos,1012,65.2
A dos Negros,101201,53.2
Amoreira,101202,81.7
Gaeiras,101208,115.5
Olho Marinho,101203,52.2
"Santa Maria, São Pedro e Sobral da Lagoa",101210,69.3
Usseira,101209,72.8
Vau,101207,46.4
Peniche,1014,278.3
Atouguia da Baleia,101402,159.7
Ferrel,101406,297.5
Peniche,101407,1154.8
Serra d'El-Rei,101405,105.7
Sobral de Monte Agraço,1112,105.1
Santo Quintino,111201,72.2
Sapataria,111202,110.1
Sobral de Monte Agraço,111203,206.4
Torres Vedras,1113,114.0
Freiria,111306,95.2
Ponte do Rol,111310,123.2
Ramalhal,111311,48.0
"Santa Maria, São Pedro e Matacães",111326,217.4
São Pedro da Cadeira,111314,111.7
Silveira,111316,278.9
Turcifal,111317,82.0
União das freguesias de A dos Cunhados e Maceira,111321,134.6
União das freguesias de Campelos e Outeiro da Cabeça,111322,64.3
União das freguesias de Carvoeira e Carmões,111323,75.2
União das freguesias de Dois Portos e Runa,111324,44.1
União das freguesias de Maxial e Monte Redondo,111325,49.5
Ventosa,111318,97.8
Região de Aveiro,16D,116.4
Águeda,0101,69.0
Aguada de Cima,010103,68.7
Fermentelos,010109,174.7
Macinhata do Vouga,010112,53.6
União das freguesias de Águeda e Borralha,010121,194.9
União das freguesias de Barrô e Aguada de Baixo,010122,148.0
"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",010123,8.8
União das freguesias de Recardães e Espinhel,010124,141.6
União das freguesias de Travassô e Óis da Ribeira,010125,95.1
"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,131.0
União das freguesias do Préstimo e Macieira de Alcoba,010127,12.8
Valongo do Vouga,010119,50.4
Albergaria-a-Velha,0102,79.0
Albergaria-a-Velha e Valmaior,010209,116.6
Alquerubim,010202,72.5
Angeja,010203,49.9
Branca,010204,84.7
Ribeira de Fráguas,010206,29.2
São João de Loure e Frossos,010210,84.8
Anadia,0103,69.2
Avelãs de Caminho,010304,92.7
Avelãs de Cima,010305,24.3
Moita,010307,34.9
Sangalhos,010309,116.9
São Lourenço do Bairro,010310,83.2
"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",010316,62.7
União das freguesias de Arcos e Mogofores,010317,224.9
"União das freguesias de Tamengos, Aguim e Óis do Bairro",010318,110.7
Vila Nova de Monsarros,010312,36.2
Vilarinho do Bairro,010313,61.0
Aveiro,0105,214.3
Aradas,010501,587.3
Cacia,010502,90.7
Eixo e Eirol,010515,130.8
Esgueira,010505,381.8
Oliveirinha,010508,179.2
"Requeixo, Nossa Senhora de Fátima e Nariz",010516,66.1
Santa Joana,010513,629.6
São Bernardo,010510,599.2
São Jacinto,010511,46.8
União das freguesias de Glória e Vera Cruz,010517,295.5
Estarreja,0108,120.6
Avanca,010801,123.2
Pardilhó,010805,138.7
Salreu,010806,114.7
União das freguesias de Beduído e Veiros,010808,156.2
União das freguesias de Canelas e Fermelã,010809,61.2
Ílhavo,0110,307.8
Gafanha da Encarnação,011005,319.3
Gafanha da Nazaré,011006,596.5
Gafanha do Carmo,011007,126.8
Ílhavo (São Salvador),011008,215.6
Murtosa,0112,106.9
Bunheiro,011201,55.9
Monte,011202,393.4
Murtosa,011203,145.4
Torreira,011204,108.3
Oliveira do Bairro,0114,131.7
Oiã,011403,139.6
Oliveira do Bairro,011404,139.8
Palhaça,011405,129.8
"União das freguesias de Bustos, Troviscal e Mamarrosa",011407,118.7
Ovar,0115,193.7
Cortegaça,011502,202.0
Esmoriz,011503,707.9
Maceda,011504,95.1
"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã",011509,182.2
Válega,011507,111.4
Sever do Vouga,0117,54.8
Couto de Esteves,011702,35.1
Pessegueiro do Vouga,011704,65.2
Rocas do Vouga,011705,64.2
Sever do Vouga,011706,140.8
Talhadas,011708,24.8
União das freguesias de Cedrim e Paradela,011710,46.4
União das freguesias de Silva Escura e Dornelas,011711,56.2
Vagos,0118,80.9
Calvão,011801,70.8
Gafanha da Boa Hora,011804,84.4
Ouca,011805,54.1
Santo André de Vagos,011810,83.8
Sosa,011807,67.3
União das freguesias de Fonte de Angeão e Covão do Lobo,011812,69.2
União das freguesias de Ponte de Vagos e Santa Catarina,011813,102.9
União das freguesias de Vagos e Santo António,011814,101.1
Região de Coimbra,16E,65.7
Arganil,0601,32.6
Arganil,060102,73.6
Benfeita,060104,32.6
Celavisa,060105,20.2
Folques,060109,24.6
Piódão,060111,12.2
Pomares,060112,25.7
Pombeiro da Beira,060113,27.3
São Martinho da Cortiça,060114,29.1
Sarzedo,060115,44.5
Secarias,060116,40.6
União das freguesias de Cepos e Teixeira,060119,13.8
União das freguesias de Cerdeira e Moura da Serra,060120,32.4
União das freguesias de Côja e Barril de Alva,060121,56.1
União das freguesias de Vila Cova de Alva e Anseriz,060122,35.3
Cantanhede,0602,53.8
Ançã,060201,78.6
Cadima,060203,56.4
Cordinhã,060205,57.6
Febres,060207,85.5
Murtede,060208,41.1
Ourentã,060209,35.6
Sanguinheira,060218,34.8
São Caetano,060215,25.9
Tocha,060214,39.0
União das freguesias de Cantanhede e Pocariça,060220,91.3
União das freguesias de Covões e Camarneira,060221,49.2
União das freguesias de Portunhos e Outil,060222,31.8
União das freguesias de Sepins e Bolho,060223,61.7
União das freguesias de Vilamar e Corticeiro de Cima,060224,71.5
Coimbra,0603,256.8
Almalaguês,060301,67.1
Brasfemes,060309,96.3
Ceira,060311,155.9
Cernache,060312,100.3
Santo António dos Olivais,060318,1330.9
São João do Campo,060320,113.3
São Silvestre,060324,123.2
Torres do Mondego,060329,72.1
União das freguesias de Antuzede e Vil de Matos,060332,78.6
União das freguesias de Assafarge e Antanhol,060333,120.5
"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",060334,1415.4
União das freguesias de Eiras e São Paulo de Frades,060335,369.0
União das freguesias de Santa Clara e Castelo Viegas,060336,371.4
União das freguesias de São Martinho de Árvore e Lamarosa,060337,68.3
União das freguesias de São Martinho do Bispo e Ribeira de Frades,060338,330.3
União das freguesias de Souselas e Botão,060339,65.9
"União das freguesias de Taveiro, Ameal e Arzila",060340,80.5
União das freguesias de Trouxemil e Torre de Vilela,060341,167.3
Condeixa-a-Nova,0604,60.6
Anobra,060401,40.7
Ega,060406,43.6
Furadouro,060407,9.2
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova,060411,144.6
União das freguesias de Sebal e Belide,060412,99.3
União das freguesias de Vila Seca e Bem da Fé,060413,36.0
Zambujal,060410,16.9
Figueira da Foz,0605,116.4
Alhadas,060519,77.0
Alqueidão,060502,50.3
Bom Sucesso,060515,18.6
Buarcos e São Julião,060520,1231.8
Ferreira-a-Nova,060521,45.8
Lavos,060522,51.3
Maiorca,060507,54.7
Marinha das Ondas,060508,59.0
Moinhos da Gândara,060518,58.1
Paião,060523,50.7
Quiaios,060524,47.0
São Pedro,060514,305.4
Tavarede,060512,528.1
Vila Verde,060513,90.7
Góis,0606,19.2
Alvares,060601,16.5
Góis,060604,24.3
União das freguesias de Cadafaz e Colmeal,060606,12.3
Vila Nova do Ceira,060605,38.6
Lousã,0607,75.6
Gândaras,060706,72.8
Serpins,060704,32.8
União das freguesias de Foz de Arouce e Casal de Ermio,060707,42.5
União das freguesias de Lousã e Vilarinho,060708,106.4
Mealhada,0111,94.1
Barcouço,011102,49.9
Casal Comba,011103,88.4
Luso,011104,82.9
Pampilhosa,011106,151.1
"União das freguesias da Mealhada, Ventosa do Bairro e Antes",011109,156.2
Vacariça,011107,47.6
Mira,0608,71.4
Carapelhos,060803,99.3
Mira,060801,68.0
Praia de Mira,060804,81.2
Seixo,060802,53.3
Miranda do Corvo,0609,57.6
Lamas,060901,31.5
Miranda do Corvo,060902,86.4
União das freguesias de Semide e Rio Vide,060906,53.8
Vila Nova,060905,28.3
Montemor-o-Velho,0610,58.2
Arazede,061002,51.1
Carapinheira,061003,93.1
Ereira,061014,49.2
Liceia,061005,39.8
Meãs do Campo,061006,83.9
Pereira,061008,138.0
Santo Varão,061009,80.5
Seixo de Gatões,061010,60.2
Tentúgal,061011,32.1
"União das freguesias de Abrunheira, Verride e Vila Nova da Barca",061015,35.3
União das freguesias de Montemor-o-Velho e Gatões,061016,63.8
Mortágua,1808,24.7
Cercosa,180802,23.4
Espinho,180804,18.6
Marmeleira,180805,17.9
Pala,180807,11.8
Sobral,180808,21.7
Trezói,180809,14.7
"União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça",180811,51.4
Oliveira do Hospital,0611,59.5
Aldeia das Dez,061101,31.5
Alvoco das Várzeas,061102,27.4
Avô,061103,62.2
Bobadela,061104,77.3
Lagares,061106,67.9
Lourosa,061109,35.4
Meruge,061110,55.6
Nogueira do Cravo,061111,87.4
São Gião,061115,34.6
Seixo da Beira,061118,31.2
Travanca de Lagos,061119,55.2
União das freguesias de Ervedal e Vila Franca da Beira,061122,38.8
União das freguesias de Lagos da Beira e Lajeosa,061123,56.7
União das freguesias de Oliveira do Hospital e São Paio de Gramaços,061124,238.4
União das freguesias de Penalva de Alva e São Sebastião da Feira,061125,53.9
União das freguesias de Santa Ovaia e Vila Pouca da Beira,061126,93.9
Pampilhosa da Serra,0612,14.1
Cabril,061201,14.1
Dornelas do Zêzere,061202,28.3
Fajão-Vidual,061211,8.2
Janeiro de Baixo,061204,16.9
Pampilhosa da Serra,061206,16.7
Pessegueiro,061207,11.6
Portela do Fojo-Machio,061212,14.5
Unhais-o-Velho,061209,12.3
Penacova,0613,38.7
Carvalho,061301,16.1
Figueira de Lorvão,061302,46.6
Lorvão,061304,75.1
Penacova,061307,56.4
Sazes do Lorvão,061310,21.8
União das freguesias de Friúmes e Paradela,061312,27.2
União das freguesias de Oliveira do Mondego e Travanca do Mondego,061313,27.8
União das freguesias de São Pedro de Alva e São Paio de Mondego,061314,31.2
Penela,0614,32.5
Cumeeira,061401,36.5
Espinhal,061402,25.0
Podentes,061403,18.9
"União das freguesias de São Miguel, Santa Eufémia e Rabaçal",061407,38.1
Soure,0615,42.5
Alfarelos,061501,60.8
Figueiró do Campo,061504,67.7
Granja do Ulmeiro,061506,198.2
Samuel,061508,25.8
Soure,061509,49.1
Tapéus,061510,16.2
União das freguesias de Degracias e Pombalinho,061513,20.7
União das freguesias de Gesteira e Brunhós,061514,40.3
Vila Nova de Anços,061511,33.4
Vinha da Rainha,061512,44.6
Tábua,0616,43.6
Candosa,061602,39.0
Carapinha,061603,28.3
Midões,061608,61.1
Mouronho,061609,28.7
Póvoa de Midões,061611,43.0
São João da Boa Vista,061612,33.2
Tábua,061614,95.4
União das freguesias de Ázere e Covelo,061616,27.1
União das freguesias de Covas e Vila Nova de Oliveirinha,061617,51.0
União das freguesias de Espariz e Sinde,061618,31.4
União das freguesias de Pinheiro de Coja e Meda de Mouros,061619,21.8
Vila Nova de Poiares,0617,52.6
Arrifana,061701,38.6
Lavegadas,061702,16.3
Poiares (Santo André),061703,88.9
São Miguel de Poiares,061704,37.6
Região de Leiria,16F,70.9
Alvaiázere,1002,35.7
Almoster,100201,22.7
Alvaiázere,100208,37.7
Maçãs de Dona Maria,100204,55.9
Pelmá,100205,26.3
Pussos São Pedro,100209,36.8
Ansião,1003,48.5
Alvorge,100301,19.3
Ansião,100309,55.8
Avelar,100303,155.4
Chão de Couce,100304,53.1
Pousaflores,100306,33.2
Santiago da Guarda,100307,54.2
Batalha,1004,82.0
Batalha,100401,155.5
Golpilheira,100404,147.4
Reguengo do Fetal,100402,41.8
São Mamede,100403,51.3
Castanheira de Pêra,1007,40.3
União das freguesias de Castanheira de Pêra e Coentral,100703,40.3
Figueiró dos Vinhos,1008,28.3
Aguda,100801,23.5
Arega,100802,23.0
Campelo,100803,12.2
União das freguesias de Figueiró dos Vinhos e Bairradas,100806,50.1
Leiria,1009,124.6
Amor,100901,90.4
Arrabal,100902,67.5
Bajouca,100925,76.8
Bidoeira de Cima,100926,73.0
Caranguejeira,100907,81.9
Coimbrão,100909,57.1
Maceira,100913,97.5
Milagres,100915,87.4
Regueira de Pontes,100921,84.0
União das freguesias de Colmeias e Memória,100932,56.6
"União das freguesias de Leiria, Pousos, Barreira e Cortes",100933,369.4
União das freguesias de Marrazes e Barosa,100934,402.9
União das freguesias de Monte Real e Carvide,100935,122.4
União das freguesias de Monte Redondo e Carreira,100936,55.9
União das freguesias de Parceiros e Azoia,100937,164.2
União das freguesias de Santa Catarina da Serra e Chainça,100938,55.8
União das freguesias de Santa Eufémia e Boa Vista,100939,113.3
União das freguesias de Souto da Carpalhosa e Ortigosa,100940,65.6
Marinha Grande,1010,117.8
Marinha Grande,101001,126.0
Moita,101003,69.3
Vieira de Leiria,101002,101.3
Pedrógão Grande,1013,27.7
Graça,101301,23.6
Pedrógão Grande,101302,28.4
Vila Facaia,101303,32.3
Pombal,1015,54.2
Abiul,101501,37.9
Almagreira,101503,43.1
Carnide,101504,42.0
Carriço,101505,22.9
Louriçal,101506,53.5
Meirinhas,101515,106.7
Pelariga,101508,47.1
Pombal,101509,111.5
Redinha,101510,32.8
"União das freguesias de Guia, Ilha e Mata Mourisca",101518,43.1
União das freguesias de Santiago e São Simão de Litém e Albergaria dos Doze,101519,61.9
Vermoil,101513,76.7
Vila Cã,101514,32.6
Porto de Mós,1016,50.5
Alqueidão da Serra,101602,45.3
Calvaria de Cima,101605,115.6
Juncal,101606,62.3
Mira de Aire,101608,142.6
Pedreiras,101609,98.9
Porto de Mós - São João Baptista e São Pedro,101614,118.0
São Bento,101610,13.5
Serro Ventoso,101613,15.6
União das freguesias de Alvados e Alcaria,101615,16.3
União das freguesias de Arrimal e Mendiga,101616,22.2
Viseu Dão Lafões,16G,53.2
Aguiar da Beira,0901,24.4
Carapito,090102,20.6
Cortiçada,090103,38.0
Dornelas,090105,23.5
Eirado,090106,21.3
Forninhos,090107,25.4
Pena Verde,090109,21.0
Pinheiro,090110,17.2
União das freguesias de Aguiar da Beira e Coruche,090114,31.5
União das freguesias de Sequeiros e Gradiz,090115,18.1
União das freguesias de Souto de Aguiar da Beira e Valverde,090116,23.9
Carregal do Sal,1802,57.6
Beijós,180201,55.1
Cabanas de Viriato,180202,52.2
Carregal do Sal,180208,62.0
Oliveira do Conde,180204,60.1
Parada,180206,49.6
Castro Daire,1803,34.1
Almofala,180301,15.4
Cabril,180303,19.3
Castro Daire,180304,97.8
Cujó,180305,34.5
Gosende,180309,29.9
Mões,180312,34.5
Moledo,180313,23.5
Monteiras,180314,21.9
Pepim,180317,22.0
Pinheiro,180319,36.3
São Joaninho,180322,38.2
"União das freguesias de Mamouros, Alva e Ribolhos",180323,43.0
União das freguesias de Mezio e Moura Morta,180324,21.7
União das freguesias de Parada de Ester e Ester,180325,21.4
União das freguesias de Picão e Ermida,180326,36.5
União das freguesias de Reriz e Gafanhão,180327,35.7
Mangualde,1806,58.4
Abrunhosa-a-Velha,180601,22.2
Alcafache,180602,47.1
Cunha Baixa,180605,42.0
Espinho,180606,49.6
Fornos de Maceira Dão,180607,53.6
Freixiosa,180608,35.1
Quintela de Azurara,180614,39.5
São João da Fresta,180616,29.0
"União das freguesias de Mangualde, Mesquitela e Cunha Alta",180619,129.3
União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato,180620,66.3
União das freguesias de Santiago de Cassurrães e Póvoa de Cervães,180621,32.9
"União das freguesias de Tavares (Chãs, Várzea e Travanca)",180622,36.8
Nelas,1809,70.6
Canas de Senhorim,180901,82.1
Lapa do Lobo,180908,55.6
Nelas,180903,130.5
Senhorim,180905,24.3
União das freguesias de Carvalhal Redondo e Aguieira,180910,76.5
União das freguesias de Santar e Moreira,180911,75.5
Vilar Seco,180906,52.2
Oliveira de Frades,1810,41.2
Arcozelo das Maias,181002,33.8
Pinheiro,181005,35.5
Ribeiradio,181007,40.6
São João da Serra,181008,25.9
São Vicente de Lafões,181009,51.2
União das freguesias de Arca e Varzielas,181013,22.2
União das freguesias de Destriz e Reigoso,181014,18.2
"União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães",181015,99.3
Penalva do Castelo,1811,42.1
Castelo de Penalva,181102,24.2
Esmolfe,181103,29.2
Germil,181104,46.7
Ínsua,181105,142.9
Lusinde,181106,61.6
Pindo,181109,68.4
Real,181110,40.3
Sezures,181111,27.0
Trancozelos,181112,35.0
União das freguesias de Antas e Matela,181114,26.9
União das freguesias de Vila Cova do Covelo/Mareco,181115,26.3
Santa Comba Dão,1814,64.0
Pinheiro de Ázere,181403,49.1
São Joaninho,181405,67.4
São João de Areias,181406,61.3
União das freguesias de Ovoa e Vimieiro,181410,44.1
União das freguesias de Santa Comba Dão e Couto do Mosteiro,181411,98.9
União das freguesias de Treixedo e Nagozela,181412,49.6
São Pedro do Sul,1816,33.6
Bordonhos,181602,49.9
Figueiredo de Alva,181606,32.9
Manhouce,181607,9.7
Pindelo dos Milagres,181608,19.9
Pinho,181609,31.7
São Félix,181612,73.0
Serrazes,181615,52.0
Sul,181616,21.9
União das freguesias de Carvalhais e Candal,181620,25.1
União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões,181621,35.6
União das freguesias de São Martinho das Moitas e Covas do Rio,181622,9.3
"União das freguesias de São Pedro do Sul, Várzea e Baiões",181623,165.9
Valadares,181617,30.0
Vila Maior,181619,48.2
Sátão,1817,46.9
Avelal,181702,36.2
Ferreira de Aves,181704,26.8
Mioma,181706,54.0
Rio de Moinhos,181707,70.7
São Miguel de Vila Boa,181709,73.5
Sátão,181710,146.1
Silvã de Cima,181711,59.6
União das freguesias de Águas Boas e Forles,181713,14.6
"União das freguesias de Romãs, Decermilo e Vila Longa",181714,31.8
Tondela,1821,47.4
Campo de Besteiros,182102,106.4
Canas de Santa Maria,182103,79.5
Castelões,182105,58.6
Dardavaz,182106,33.2
Ferreirós do Dão,182107,38.4
Guardão,182108,42.0
Lajeosa do Dão,182109,49.5
Lobão da Beira,182110,47.3
Molelos,182111,89.7
Parada de Gonta,182116,79.8
Santiago de Besteiros,182118,50.9
Tonda,182122,82.0
União das freguesias de Barreiro de Besteiros e Tourigo,182127,18.5
União das freguesias de Caparrosa e Silvares,182128,29.4
União das freguesias de Mouraz e Vila Nova da Rainha,182129,58.7
União das freguesias de São João do Monte e Mosteirinho,182130,10.0
União das freguesias de São Miguel do Outeiro e Sabugosa,182131,48.6
União das freguesias de Tondela e Nandufe,182132,187.5
União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas,182133,39.4
Vila Nova de Paiva,1822,26.5
Pendilhe,182203,19.8
Queiriga,182204,26.9
Touro,182205,14.7
"União das freguesias de Vila Nova de Paiva, Alhais e Fráguas",182208,46.8
Vila Cova à Coelheira,182206,26.2
Viseu,1823,112.0
Abraveses,182301,343.9
Bodiosa,182304,67.9
Calde,182305,30.2
Campo,182306,164.4
Cavernães,182307,61.7
Cota,182310,20.2
Coutos de Viseu,182337,41.1
Fragosela,182315,111.4
Freguesia de Fail e Vila Chã de Sá,182338,84.5
Lordosa,182316,49.2
Mundão,182318,83.9
Orgens,182319,191.0
Povolide,182320,52.8
Ranhados,182321,465.2
Repeses e São Salvador,182339,328.2
Ribafeita,182322,44.7
Rio de Loba,182323,247.1
Santos Evos,182325,74.1
São Cipriano e Vil de Souto,182340,49.1
São João de Lourosa,182327,89.1
São Pedro de France,182329,45.4
Silgueiros,182317,55.2
União das freguesias de Barreiros e Cepões,182335,34.3
"União das freguesias de Boa Aldeia, Farminhão e Torredeita",182336,50.1
Viseu,182341,1547.5
Vouzela,1824,34.7
Alcofra,182401,24.9
Campia,182403,22.3
Fornelo do Monte,182407,18.6
Queirã,182409,36.0
São Miguel do Mato,182410,65.2
União das freguesias de Cambra e Carvalhal de Vermilhas,182413,32.8
União das freguesias de Fataunços e Figueiredo das Donas,182414,54.0
União das freguesias de Vouzela e Paços de Vilharigues,182415,77.7
Ventosa,182411,30.7
Beira Baixa,16H,16.0
Castelo Branco,0502,27.6
Alcains,050201,86.0
Almaceda,050202,8.7
Benquerenças,050203,11.6
Castelo Branco,050205,120.6
Lardosa,050211,20.2
Louriçal do Campo,050212,27.0
Malpica do Tejo,050214,3.1
Monforte da Beira,050216,5.6
Salgueiro do Campo,050220,24.8
Santo André das Tojeiras,050221,13.1
São Vicente da Beira,050222,13.5
Sarzedas,050223,10.6
Tinalhas,050225,35.6
União das freguesias de Cebolais de Cima e Retaxo,050226,53.4
União das freguesias de Escalos de Baixo e Mata,050227,17.4
União das freguesias de Escalos de Cima e Lousa,050228,23.5
União das freguesias de Freixial e Juncal do Campo,050229,20.0
União das freguesias de Ninho do Açor e Sobral do Campo,050230,18.3
União das freguesias de Póvoa de Rio de Moinhos e Cafede,050231,20.2
Idanha-a-Nova,0505,8.7
Aldeia de Santa Margarida,050502,31.4
Ladoeiro,050505,17.7
Medelim,050506,13.1
Oledo,050509,15.0
Penha Garcia,050510,8.8
Proença-a-Velha,050511,6.1
Rosmaninhal,050512,4.2
São Miguel de Acha,050514,14.7
Toulões,050516,11.2
União das freguesias de Idanha-a-Nova e Alcafozes,050518,8.2
União das freguesias de Monfortinho e Salvaterra do Extremo,050519,8.0
União das freguesias de Monsanto e Idanha-a-Velha,050520,9.7
União das freguesias de Zebreira e Segura,050521,8.3
Oleiros,0506,10.7
Álvaro,050601,9.4
Cambas,050603,9.9
Estreito-Vilar Barroco,050613,9.4
Isna,050605,5.5
Madeirã,050606,7.1
Mosteiro,050607,17.1
Oleiros-Amieira,050614,12.7
Orvalho,050609,16.7
Sarnadas de São Simão,050610,8.2
Sobral,050611,7.4
Penamacor,0507,12.2
Aranhas,050704,86.9
Benquerença,050706,29.7
Meimão,050707,10.2
Meimoa,050708,14.5
Penamacor,050710,4.2
Salvador,050711,54.3
"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires",050713,47.1
União das freguesias de Pedrógão de São Pedro e Bemposta,050714,23.3
Vale da Senhora da Póvoa,050712,19.0
Proença-a-Nova,0508,16.6
Montes da Senhora,050802,22.5
São Pedro do Esteval,050805,5.2
União das freguesias de Proença-a-Nova e Peral,050807,18.6
União das freguesias de Sobreira Formosa e Alvito da Beira,050808,18.3
Vila Velha de Ródão,0511,10.8
Fratel,051101,8.9
Perais,051102,6.1
Sarnadas de Ródão,051103,9.7
Vila Velha de Ródão,051104,17.8
Médio Tejo,16I,47.8
Abrantes,1401,35.2
Bemposta,140104,6.9
Carvalhal,140119,38.5
Fontes,140118,24.5
Martinchel,140105,24.1
Mouriscas,140106,42.7
Pego,140107,43.7
Rio de Moinhos,140108,38.2
Tramagal,140115,82.9
União das freguesias de Abrantes (São Vicente e São João) e Alferrarede,140120,147.2
União das freguesias de Aldeia do Mato e Souto,140121,24.8
União das freguesias de Alvega e Concavada,140122,19.3
União das freguesias de São Facundo e Vale das Mós,140123,10.6
União das freguesias de São Miguel do Rio Torto e Rossio ao Sul do Tejo,140124,52.3
Alcanena,1402,63.1
Bugalhos,140202,33.9
Minde,140206,85.0
Moitas Venda,140207,90.1
Monsanto,140208,27.3
Serra de Santo António,140209,31.1
União das freguesias de Alcanena e Vila Moreira,140211,184.7
"União das freguesias de Malhou, Louriceira e Espinheiro",140212,36.6
Constância,1408,27.8
Constância,140801,66.7
Montalvo,140802,50.7
Santa Margarida da Coutada,140803,16.9
Entroncamento,1410,794.7
Nossa Senhora de Fátima,141002,698.9
São João Baptista,141001,987.3
Ferreira do Zêzere,1411,39.5
Águas Belas,141101,42.2
Beco,141103,46.6
Chãos,141104,26.4
Ferreira do Zêzere,141106,48.0
Igreja Nova do Sobral,141107,44.9
Nossa Senhora do Pranto,141110,33.6
União das freguesias de Areias e Pias,141111,37.5
Mação,1413,16.8
Amêndoa,141302,16.1
Cardigos,141303,15.4
Carvoeiro,141304,9.9
Envendos,141305,11.4
Ortiga,141307,27.4
"União das freguesias de Mação, Penhascoso e Aboboreira",141309,22.5
Ourém,1421,71.9
Alburitel,142101,55.7
Atouguia,142102,70.2
Caxarias,142104,85.2
Espite,142105,53.6
Fátima,142106,100.5
Nossa Senhora da Piedade,142115,207.1
Nossa Senhora das Misericórdias,142111,68.0
Seiça,142113,59.9
"União das freguesias de Freixianda, Ribeira do Fárrio e Formigais",142119,43.7
União das freguesias de Gondemaria e Olival,142120,73.1
União das freguesias de Matas e Cercal,142121,52.3
União das freguesias de Rio de Couros e Casal dos Bernardos,142122,50.2
Urqueira,142114,43.6
Sardoal,1417,31.4
Alcaravela,141701,18.1
Santiago de Montalegre,141702,16.9
Sardoal,141703,52.4
Valhascos,141704,43.7
Sertã,0509,27.0
Cabeçudo,050901,65.0
Carvalhal,050902,34.1
Castelo,050903,31.5
Pedrógão Pequeno,050911,18.3
Sertã,050912,51.6
Troviscal,050913,13.5
"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais",050915,30.4
União das freguesias de Cumeada e Marmeleiro,050916,11.9
União das freguesias de Ermida e Figueiredo,050917,8.7
Várzea dos Cavaleiros,050914,18.6
Tomar,1418,74.4
Asseiceira,141802,57.0
Carregueiros,141804,57.7
Olalhas,141808,37.0
Paialvo,141809,69.0
Sabacheira,141814,24.4
São Pedro de Tomar,141813,52.3
União das freguesias de Além da Ribeira e Pedreira,141817,36.9
União das freguesias de Casais e Alviobeira,141818,56.6
União das freguesias de Madalena e Beselga,141819,54.1
União das freguesias de Serra e Junceira,141820,51.2
União das freguesias de Tomar (São João Baptista) e Santa Maria dos Olivais,141821,343.9
Torres Novas,1419,77.8
Assentiz,141902,58.5
Chancelaria,141904,32.2
Meia Via,141917,206.8
Pedrógão,141909,32.8
Riachos,141910,175.5
"União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel",141918,43.8
União das freguesias de Olaia e Paço,141919,53.0
"União das freguesias de Torres Novas (Santa Maria, Salvador e Santiago)",141920,116.2
