local,codigo,Densidade de alojamentos
Oleiros,031330,160.8
Parada de Gatim,031331,105.6
Pico,031335,110.7
Ponte,031337,73.0
Prado (São Miguel),031350,65.7
Sabariz,031340,122.2
Soutelo,031352,235.7
Turiz,031354,231.2
União das freguesias da Ribeira do Neiva,031360,62.3
União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago),031361,105.0
União das freguesias de Escariz (São Mamede) e Escariz (São Martinho),031362,73.7
"União das freguesias de Esqueiros, Nevogilde e Travassós",031363,89.4
União das freguesias de Marrancos e Arcozelo,031364,75.8
União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel),031365,47.5
"União das freguesias de Pico de Regalados, Gondiães e Mós",031366,80.6
"União das freguesias de Sande, Vilarinho, Barros e Gomide",031367,64.0
"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)",031368,61.4
União das freguesias do Vade,031369,69.2
Valdreu,031355,24.3
Vila de Prado,031342,374.3
Vila Verde e Barbudo,031370,496.9
Ave,119,137.0
Cabeceiras de Basto,0304,40.4
Abadim,030401,21.1
Basto,030404,80.5
Bucos,030405,18.4
Cabeceiras de Basto,030406,19.7
Cavez,030407,34.3
Faia,030408,55.5
Pedraça,030413,38.0
Rio Douro,030415,15.8
União das freguesias de Alvite e Passos,030418,49.4
União das freguesias de Arco de Baúlhe e Vila Nune,030419,128.5
União das freguesias de Gondiães e Vilar de Cunhas,030420,10.8
"União das freguesias de Refojos de Basto, Outeiro e Painzela",030421,125.8
Fafe,0307,120.5
Armil,030705,76.8
Arões (Santa Cristina),030726,187.3
Arões (São Romão),030730,258.6
Estorãos,030708,140.2
Fafe,030709,1028.2
Fornelos,030712,315.5
Golães,030714,208.7
Medelo,030716,309.1
Paços,030719,122.4
Quinchães,030722,109.3
Regadas,030723,133.1
Revelhe,030724,92.9
Ribeiros,030725,68.5
São Gens,030728,63.9
Silvares (São Martinho),030729,102.1
Travassós,030733,96.4
"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído",030737,24.6
União de freguesias de Agrela e Serafão,030738,74.2
União de freguesias de Antime e Silvares (São Clemente),030739,180.6
"União de freguesias de Ardegão, Arnozela e Seidões",030740,57.0
União de freguesias de Cepães e Fareja,030741,141.3
União de freguesias de Freitas e Vila Cova,030742,42.4
União de freguesias de Monte e Queimadela,030743,34.0
União de freguesias de Moreira do Rei e Várzea Cova,030744,42.0
Vinhós,030736,122.2
Guimarães,0308,290.1
Aldão,030801,336.1
Azurém,030804,1570.3
Barco,030806,209.9
Brito,030807,327.8
Caldelas,030808,1073.6
Candoso (São Martinho),030857,262.4
Costa,030812,498.9
Creixomil,030813,1472.4
Fermentões,030815,635.4
Gonça,030820,63.4
Gondar,030821,457.0
Guardizela,030823,251.3
Infantas,030824,116.0
Longos,030827,86.0
Lordelo,030828,344.0
Mesão Frio,030830,421.5
Moreira de Cónegos,030831,421.4
Nespereira,030832,283.2
Pencelo,030835,220.0
Pinheiro,030836,246.6
Polvoreira,030837,448.9
Ponte,030838,470.7
Prazins (Santa Eufémia),030842,235.9
Ronfe,030840,367.1
Sande (São Martinho),030858,353.3
São Torcato,030865,146.5
Selho (São Cristóvão),030850,355.3
Selho (São Jorge),030854,470.6
Serzedelo,030866,286.2
Silvares,030868,211.6
União das freguesias de Abação e Gémeos,030875,158.5
"União das freguesias de Airão Santa Maria, Airão São João e Vermil",030876,183.2
União das freguesias de Arosa e Castelões,030877,86.8
União das freguesias de Atães e Rendufe,030878,98.3
União das freguesias de Briteiros Santo Estêvão e Donim,030879,164.6
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia,030880,90.4
União das freguesias de Candoso São Tiago e Mascotelos,030881,406.2
União das freguesias de Conde e Gandarela,030882,281.0
"União das freguesias de Leitões, Oleiros e Figueiredo",030883,67.8
"União das freguesias de Oliveira, São Paio e São Sebastião",030884,2739.4
União das freguesias de Prazins Santo Tirso e Corvite,030885,179.3
União das freguesias de Sande São Lourenço e Balazar,030886,125.2
União das freguesias de Sande Vila Nova e Sande São Clemente,030887,212.0
União das freguesias de Selho São Lourenço e Gominhães,030888,229.2
União das freguesias de Serzedo e Calvos,030889,212.0
"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar",030890,74.5
União das freguesias de Tabuadelo e São Faustino,030891,204.8
Urgezes,030871,743.8
Mondim de Basto,1705,26.7
Atei,170501,28.6
Bilhó,170502,14.6
São Cristóvão de Mondim de Basto,170505,112.2
União das freguesias de Campanhó e Paradança,170509,17.2
União das freguesias de Ermelo e Pardelhas,170510,10.8
Vilar de Ferreiros,170508,24.3
Póvoa de Lanhoso,0309,92.8
Covelas,030906,71.1
Ferreiros,030908,43.9
Galegos,030912,107.8
Garfe,030913,106.4
Geraz do Minho,030914,57.0
Lanhoso,030915,72.6
Monsul,030917,115.9
Póvoa de Lanhoso (Nossa Senhora do Amparo),030919,553.7
Rendufinho,030921,45.3
Santo Emilião,030922,196.3
São João de Rei,030923,41.9
Serzedelo,030924,45.1
Sobradelo da Goma,030925,49.6
Taíde,030926,143.9
Travassos,030927,83.0
União das freguesias de Águas Santas e Moure,030930,86.4
União das freguesias de Calvos e Frades,030931,45.6
União das freguesias de Campos e Louredo,030932,142.5
União das freguesias de Esperança e Brunhais,030933,52.4
União das freguesias de Fonte Arcada e Oliveira,030934,83.7
"União das freguesias de Verim, Friande e Ajude",030935,45.0
Vilela,030929,77.3
Vieira do Minho,0311,37.1
Cantelães,031105,36.4
Eira Vedra,031107,62.4
Guilhofrei,031108,56.0
Louredo,031109,37.7
Mosteiro,031110,39.2
Parada de Bouro,031111,40.2
Pinheiro,031112,24.6
Rossas,031113,33.4
Salamonde,031115,39.9
Tabuaças,031118,52.7
União das freguesias de Anissó e Soutelo,031122,30.9
União das freguesias de Anjos e Vilar do Chão,031123,14.6
União das freguesias de Caniçada e Soengas,031124,49.3
União das freguesias de Ruivães e Campos,031125,14.8
União das freguesias de Ventosa e Cova,031126,53.4
Vieira do Minho,031120,177.1
Vila Nova de Famalicão,0312,286.4
Bairro,031204,463.3
Brufe,031206,394.8
Castelões,031210,223.5
Cruz,031212,166.6
Delães,031213,699.2
Fradelos,031215,89.5
Gavião,031216,412.9
Joane,031219,466.7
Landim,031221,269.6
Louro,031223,188.8
Lousado,031224,267.8
Mogege,031225,265.2
Nine,031227,294.9
Oliveira (Santa Maria),031239,318.6
Oliveira (São Mateus),031242,577.7
Pedome,031230,342.2
Pousada de Saramagos,031232,435.8
Requião,031233,179.5
Riba de Ave,031234,541.3
Ribeirão,031235,351.4
União das freguesias de Antas e Abade de Vermoim,031250,666.5
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures,031251,167.7
União das freguesias de Avidos e Lagoa,031252,231.7
União das freguesias de Carreira e Bente,031253,321.8
União das freguesias de Esmeriz e Cabeçudos,031254,208.3
"União das freguesias de Gondifelos, Cavalões e Outiz",031255,130.8
"União das freguesias de Lemenhe, Mouquim e Jesufrei",031256,139.4
União das freguesias de Ruivães e Novais,031257,280.7
União das freguesias de Seide,031258,227.7
"União das freguesias de Vale (São Cosme), Telhado e Portela",031259,159.4
União das freguesias de Vila Nova de Famalicão e Calendário,031260,1068.2
Vale (São Martinho),031241,216.9
Vermoim,031247,280.3
Vilarinho das Cambas,031249,61.4
Vizela,0314,398.6
Infias,031404,239.5
Santa Eulália,031401,378.7
União das freguesias de Caldas de Vizela (São Miguel e São João),031408,621.1
União das freguesias de Tagilde e Vizela (São Paio),031409,244.0
Vizela (Santo Adrião),031406,302.0
Área Metropolitana do Porto,11A,410.2
Arouca,0104,33.9
Alvarenga,010402,22.0
Chave,010407,61.1
Escariz,010409,55.2
Fermedo,010411,60.1
Mansores,010413,34.3
Moldes,010414,22.0
Rossas,010415,69.5
Santa Eulália,010416,44.4
São Miguel do Mato,010417,17.4
Tropeço,010418,32.0
União das freguesias de Arouca e Burgo,010421,166.3
União das freguesias de Cabreiros e Albergaria da Serra,010422,5.7
União das freguesias de Canelas e Espiunca,010423,16.6
União das freguesias de Covelo de Paivó e Janarde,010424,3.7
Urrô,010419,47.3
Várzea,010420,137.4
Espinho,0107,762.0
Espinho,010702,3615.3
Paramos,010704,254.9
Silvalde,010705,525.7
União das freguesias de Anta e Guetim,010706,663.3
Gondomar,1304,565.4
Baguim do Monte (Rio Tinto),130412,1142.9
Lomba,130405,57.7
Rio Tinto,130408,2577.0
União das freguesias de Fânzeres e São Pedro da Cova,130413,762.3
União das freguesias de Foz do Sousa e Covelo,130414,100.8
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",130415,909.7
União das freguesias de Melres e Medas,130416,80.3
Maia,1306,719.9
Águas Santas,130601,1447.2
Castêlo da Maia,130618,398.6
Cidade da Maia,130619,1700.0
Folgosa,130603,149.8
Milheirós,130608,563.1
Moreira,130609,672.9
Nogueira e Silva Escura,130620,391.2
Pedrouços,130617,2376.4
São Pedro Fins,130613,151.2
Vila Nova da Telha,130616,439.2
Matosinhos,1308,1318.8
"União das freguesias de Custóias, Leça do Balio e Guifões",130811,1026.2
União das freguesias de Matosinhos e Leça da Palmeira,130812,2026.5
"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",130813,581.6
União das freguesias de São Mamede de Infesta e Senhora da Hora,130814,2868.1
Oliveira de Azeméis,0113,190.4
Carregosa,011301,142.5
Cesar,011302,266.9
Fajões,011303,164.4
Loureiro,011304,91.7
Macieira de Sarnes,011305,221.4
Ossela,011310,56.0
São Martinho da Gândara,011315,99.6
São Roque,011318,317.9
União das freguesias de Nogueira do Cravo e Pindelo,011320,187.6
"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",011321,368.7
"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",011322,96.8
Vila de Cucujães,011319,444.3
Paredes,1310,230.6
Aguiar de Sousa,131001,30.7
Astromil,131002,226.4
Baltar,131003,283.7
Beire,131004,235.3
Cete,131008,286.5
Cristelo,131009,379.7
Duas Igrejas,131010,376.5
Gandra,131011,281.5
Lordelo,131013,405.5
Louredo,131014,211.1
Parada de Todeia,131017,227.5
Paredes,131025,417.7
Rebordosa,131018,336.1
Recarei,131019,122.1
Sobreira,131020,78.1
Sobrosa,131021,214.3
Vandoma,131022,188.9
Vilela,131024,397.4
Porto,1312,3225.8
Bonfim,131202,4791.9
Campanhã,131203,1995.1
Paranhos,131210,3832.4
Ramalde,131211,3284.4
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",131216,2244.2
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",131217,4990.4
União das freguesias de Lordelo do Ouro e Massarelos,131218,2675.0
Póvoa de Varzim,1313,439.9
Balazar,131305,95.0
Estela,131307,87.6
Laundos,131308,92.3
Rates,131311,66.1
"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",131315,1671.5
União das freguesias de Aguçadoura e Navais,131314,329.1
"União das freguesias de Aver-o-Mar, Amorim e Terroso",131313,532.2
Santa Maria da Feira,0109,289.7
Argoncilhe,010901,435.1
Arrifana,010902,560.5
Escapães,010904,334.2
Fiães,010907,516.6
Fornos,010908,471.7
Lourosa,010913,648.9
Milheirós de Poiares,010914,205.2
Mozelos,010916,535.1
Nogueira da Regedoura,010917,470.6
Paços de Brandão,010919,604.8
Rio Meão,010921,312.3
Romariz,010922,130.8
Sanguedo,010924,324.9
Santa Maria de Lamas,010925,554.1
São João de Ver,010926,312.6
São Paio de Oleiros,010918,426.1
União das freguesias de Caldas de São Jorge e Pigeiros,010932,164.7
"União das freguesias de Canedo, Vale e Vila Maior",010933,108.7
"União das freguesias de Lobão, Gião, Louredo e Guisande",010934,209.9
"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",010935,378.6
União de freguesias de São Miguel de Souto e Mosteirô,010936,210.3
Santo Tirso,1314,226.7
Agrela,131401,92.0
Água Longa,131402,76.7
Aves,131405,618.5
Monte Córdova,131413,107.6
Negrelos (São Tomé),131430,294.8
Rebordões,131416,360.8
Reguenga,131418,133.8
Roriz,131419,231.3
"União das freguesias de Areias, Sequeiró, Lama e Palmeira",131433,278.2
União das freguesias de Carreira e Refojos de Riba de Ave,131435,92.8
União das freguesias de Lamelas e Guimarei,131436,58.7
"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",131437,383.1
Vila Nova do Campo,131434,285.0
Vilarinho,131432,274.6
São João da Madeira,0116,1336.1
São João da Madeira,011601,1336.1
Trofa,1318,222.2
Covelas,131806,38.5
Muro,131808,153.3
União das freguesias de Alvarelhos e Guidões,131809,151.7
União das freguesias de Bougado (São Martinho e Santiago),131810,314.2
União das freguesias de Coronado (São Romão e São Mamede),131811,345.5
Vale de Cambra,0119,81.0
Arões,011901,18.8
Cepelos,011903,43.1
Junqueira,011905,30.8
Macieira de Cambra,011906,135.3
Roge,011907,51.4
São Pedro de Castelões,011902,171.3
"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",011910,213.7
Valongo,1315,556.4
Alfena,131501,402.1
Ermesinde,131503,2299.0
União das freguesias de Campo e Sobrado,131506,196.8
Valongo,131505,555.6
Vila do Conde,1316,260.3
Árvore,131602,432.5
Aveleda,131603,131.6
Azurara,131604,576.4
Fajozes,131607,101.7
Gião,131610,126.9
Guilhabreu,131611,135.9
Junqueira,131612,116.4
Labruge,131613,302.0
Macieira da Maia,131614,167.3
Mindelo,131616,447.6
Modivas,131617,174.4
"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",131631,46.4
União das freguesias de Fornelo e Vairão,131632,97.3
União das freguesias de Malta e Canidelo,131633,157.6
União das freguesias de Retorta e Tougues,131634,128.1
União das freguesias de Rio Mau e Arcos,131635,69.5
União das freguesias de Touguinha e Touguinhó,131636,175.3
União das freguesias de Vilar e Mosteiró,131637,143.0
Vila Chã,131627,378.4
Vila do Conde,131628,2246.0
Vilar de Pinheiro,131630,292.9
Vila Nova de Gaia,1317,856.5
Arcozelo,131701,846.9
Avintes,131702,563.2
Canelas,131703,870.3
