local,codigo,Contratos de compra e venda
Beiras e Serra da Estrela,16J,18556
Almeida,16J0902,334
Belmonte,16J0501,614
Celorico da Beira,16J0903,272
Covilhã,16J0503,6804
Figueira de Castelo Rodrigo,16J0904,60
Fornos de Algodres,16J0905,78
Fundão,16J0504,3572
Gouveia,16J0906,396
Guarda,16J0907,2814
Manteigas,16J0908,22
Mêda,16J0909,411
Pinhel,16J0910,615
Sabugal,16J0911,305
Seia,16J0912,2170
Trancoso,16J0913,89
Área Metropolitana de Lisboa,17,1240742
Área Metropolitana de Lisboa,170,1240742
Alcochete,1701502,6313
Almada,1701503,28483
Amadora,1701115,20310
Barreiro,1701504,10759
Cascais,1701105,132380
Lisboa,1701106,693760
Loures,1701107,35713
Mafra,1701109,21112
Moita,1701506,6268
Montijo,1701507,11605
Odivelas,1701116,19816
Oeiras,1701110,68165
Palmela,1701508,25317
Seixal,1701510,40254
Sesimbra,1701511,18250
Setúbal,1701512,25431
Sintra,1701111,57651
Vila Franca de Xira,1701114,19153
Alentejo,18,138517
Alentejo Litoral,181,50691
Alcácer do Sal,1811501,9774
Grândola,1811505,26972
Odemira,1810211,6475
Santiago do Cacém,1811509,5724
Sines,1811513,1746
Baixo Alentejo,184,19342
Aljustrel,1840201,1859
Almodôvar,1840202,1350
Alvito,1840203,48
Barrancos,1840204,29
Beja,1840205,5867
Castro Verde,1840206,2469
Cuba,1840207,415
Ferreira do Alentejo,1840208,1145
Mértola,1840209,2767
Moura,1840210,769
Ourique,1840212,1541
Serpa,1840213,829
Vidigueira,1840214,254
Lezíria do Tejo,185,29337
Almeirim,1851403,1870
Alpiarça,1851404,699
Azambuja,1851103,2216
Benavente,1851405,6799
Cartaxo,1851406,2099
Chamusca,1851407,749
Coruche,1851409,2598
Golegã,1851412,496
Rio Maior,1851414,2540
Salvaterra de Magos,1851415,2341
Santarém,1851416,6930
Alto Alentejo,186,15540
Alter do Chão,1861201,213
Arronches,1861202,278
Avis,1861203,951
Campo Maior,1861204,5281
Castelo de Vide,1861205,1332
Crato,1861206,232
Elvas,1861207,2106
Fronteira,1861208,146
Gavião,1861209,559
Marvão,1861210,563
Monforte,1861211,14
Nisa,1861212,1492
Ponte de Sor,1861213,851
Portalegre,1861214,1496
Sousel,1861215,26
Alentejo Central,187,23607
Alandroal,1870701,192
Arraiolos,1870702,1233
Borba,1870703,492
Estremoz,1870704,1574
Évora,1870705,10359
Montemor-o-Novo,1870706,2492
Mora,1870707,875
Mourão,1870708,235
Portel,1870709,732
Redondo,1870710,587
Reguengos de Monsaraz,1870711,2094
Vendas Novas,1870712,1051
Viana do Alentejo,1870713,667
Vila Viçosa,1870714,1024
Algarve,15,280254
Algarve,150,280254
Albufeira,1500801,40367
Alcoutim,1500802,190
Aljezur,1500803,3732
Castro Marim,1500804,2165
Faro,1500805,15050
Lagoa,1500806,13606
Lagos,1500807,33093
Loulé,1500808,90378
Monchique,1500809,993
Olhão,1500810,16108
Portimão,1500811,18779
São Brás de Alportel,1500812,3829
Silves,1500813,13626
Tavira,1500814,17375
Vila do Bispo,1500815,4962
Vila Real de Santo António,1500816,6000
Região Autónoma dos Açores,2,25686
Região Autónoma dos Açores,20,25686
Região Autónoma dos Açores,200,25686
Angra do Heroísmo,2004301,2348
Calheta,2004501,470
Corvo,2004901,39
Horta,2004701,2241
Lagoa,2004201,1471
Lajes das Flores,2004801,64
Lajes do Pico,2004601,354
Madalena,2004602,378
Nordeste,2004202,504
Ponta Delgada,2004203,10881
Povoação,2004204,306
Ribeira Grande,2004205,4008
Santa Cruz da Graciosa,2004401,369
Santa Cruz das Flores,2004802,17
São Roque do Pico,2004603,70
Velas,2004502,62
Vila da Praia da Vitória,2004302,1201
Vila do Porto,2004101,89
Vila Franca do Campo,2004206,816
Região Autónoma da Madeira,3,36424
Região Autónoma da Madeira,30,36424
Região Autónoma da Madeira,300,36424
Calheta,3003101,2126
Câmara de Lobos,3003102,733
Funchal,3003103,22416
Machico,3003104,773
Ponta do Sol,3003105,946
Porto Moniz,3003106,152
Porto Santo,3003201,1529
Ribeira Brava,3003107,610
Santa Cruz,3003108,6220
Santana,3003109,482
São Vicente,3003110,438
