local,codigo,Estabelecimentos
Alentejo Litoral,1C1,15090
Alcácer do Sal,1C11501,1954
Grândola,1C11505,2464
Odemira,1C10211,4828
Santiago do Cacém,1C11509,3929
Sines,1C11513,1915
Baixo Alentejo,1C2,17349
Aljustrel,1C20201,930
Almodôvar,1C20202,956
Alvito,1C20203,342
Barrancos,1C20204,280
Beja,1C20205,5341
Castro Verde,1C20206,883
Cuba,1C20207,676
Ferreira do Alentejo,1C20208,1228
Mértola,1C20209,895
Moura,1C20210,2144
Ourique,1C20212,771
Serpa,1C20213,2121
Vidigueira,1C20214,782
Alto Alentejo,1C3,13931
Alter do Chão,1C31201,398
Arronches,1C31202,389
Avis,1C31203,496
Campo Maior,1C31204,822
Castelo de Vide,1C31205,445
Crato,1C31206,446
Elvas,1C31207,2859
Fronteira,1C31208,485
Gavião,1C31209,336
Marvão,1C31210,525
Monforte,1C31211,346
Nisa,1C31212,803
Ponte de Sor,1C31213,1833
Portalegre,1C31214,3060
Sousel,1C31215,688
Alentejo Central,1C4,22557
Alandroal,1C40701,711
Arraiolos,1C40702,941
Borba,1C40703,954
Estremoz,1C40704,1943
Évora,1C40705,8094
Montemor-o-Novo,1C40706,2476
Mora,1C40707,528
Mourão,1C40708,319
Portel,1C40709,803
Redondo,1C40710,944
Reguengos de Monsaraz,1C40711,1579
Vendas Novas,1C40712,1430
Viana do Alentejo,1C40713,851
Vila Viçosa,1C40714,984
Algarve,15,98741
Algarve,150,98741
Albufeira,1500801,12497
Alcoutim,1500802,373
Aljezur,1500803,1643
Castro Marim,1500804,1023
Faro,1500805,13168
Lagoa,1500806,5793
Lagos,1500807,8028
Loulé,1500808,17585
Monchique,1500809,892
Olhão,1500810,7078
Portimão,1500811,11915
São Brás de Alportel,1500812,2040
Silves,1500813,6796
Tavira,1500814,5421
Vila do Bispo,1500815,1447
Vila Real de Santo António,1500816,3042
Região Autónoma dos Açores,2,33385
Região Autónoma dos Açores,20,33385
Região Autónoma dos Açores,200,33385
Angra do Heroísmo,2004301,5063
Calheta (R.A.A.),2004501,638
Corvo,2004901,101
Horta,2004701,2613
Lagoa (R.A.A.),2004201,1569
Lajes das Flores,2004801,294
Lajes do Pico,2004601,797
Madalena,2004602,1240
Nordeste,2004202,499
Ponta Delgada,2004203,9466
Povoação,2004204,555
Ribeira Grande,2004205,3199
Santa Cruz da Graciosa,2004401,632
Santa Cruz das Flores,2004802,403
São Roque do Pico,2004603,634
Velas,2004502,875
Vila da Praia da Vitória,2004302,2735
Vila do Porto,2004101,873
Vila Franca do Campo,2004206,1199
Região Autónoma da Madeira,3,35820
Região Autónoma da Madeira,30,35820
Região Autónoma da Madeira,300,35820
Calheta (R.A.M.),3003101,2006
Câmara de Lobos,3003102,3316
Funchal,3003103,17831
Machico,3003104,1909
Ponta do Sol,3003105,1754
Porto Moniz,3003106,389
Ribeira Brava,3003107,1525
Santa Cruz,3003108,4826
Santana,3003109,733
São Vicente,3003110,828
Porto Santo,3003201,703
