local,codigo,Volume de negócios
Estarreja,1910108,2493417601
Ílhavo,1910110,3098137217
Murtosa,1910112,162055851
Oliveira do Bairro,1910114,1288534795
Ovar,1910115,3449656216
Sever do Vouga,1910117,412315349
Vagos,1910118,1229527213
Região de Coimbra,192,17211638838
Arganil,1920601,242147495
Cantanhede,1920602,1581428822
Coimbra,1920603,5609145497
Condeixa-a-Nova,1920604,429324770
Figueira da Foz,1920605,3898116179
Góis,1920606,58954652
Lousã,1920607,551450110
Mealhada,1920111,1197698902
Mira,1920608,354615769
Miranda do Corvo,1920609,167688287
Montemor-o-Velho,1920610,471584937
Mortágua,1921808,468442427
Oliveira do Hospital,1920611,567660435
Pampilhosa da Serra,1920612,81509900
Penacova,1920613,354014142
Penela,1920614,263141090
Soure,1920615,311627727
Tábua,1920616,329613981
Vila Nova de Poiares,1920617,273473716
Região de Leiria,193,15418318902
Alvaiázere,1931002,204066811
Ansião,1931003,443665002
Batalha,1931004,844746652
Castanheira de Pêra,1931007,46583179
Figueiró dos Vinhos,1931008,90354176
Leiria,1931009,8113072416
Marinha Grande,1931010,2282360485
Pedrógão Grande,1931013,53936202
Pombal,1931015,2442527618
Porto de Mós,1931016,897006361
Viseu Dão Lafões,194,9985915857
Aguiar da Beira,1940901,122072791
Carregal do Sal,1941802,321119538
Castro Daire,1941803,290182390
Mangualde,1941806,1875472161
Nelas,1941809,589215004
Oliveira de Frades,1941810,979107863
Penalva do Castelo,1941811,125146890
Santa Comba Dão,1941814,223788295
São Pedro do Sul,1941816,320060005
Sátão,1941817,176526723
Tondela,1941821,1140396777
Vila Nova de Paiva,1941822,122052467
Viseu,1941823,3497043806
Vouzela,1941824,203731147
Beira Baixa,195,2889129243
Castelo Branco,1950502,1555464031
Idanha-a-Nova,1950505,94723720
Oleiros,1950506,138590093
Penamacor,1950507,106119033
Proença-a-Nova,1950508,132648369
Sertã,1950509,434777421
Vila de Rei,1950510,52269664
Vila Velha de Ródão,1950511,374536912
Beiras e Serra da Estrela,196,5223168075
Almeida,1960902,75947786
Belmonte,1960501,124850984
Celorico da Beira,1960903,102841068
Covilhã,1960503,1128851195
Figueira de Castelo Rodrigo,1960904,78020509
Fornos de Algodres,1960905,60263865
Fundão,1960504,723413252
Gouveia,1960906,136089719
Guarda,1960907,1684041472
Manteigas,1960908,41826976
Mêda,1960909,68215107
Pinhel,1960910,149854014
Sabugal,1960911,127958983
Seia,1960912,500761247
Trancoso,1960913,220231898
Oeste e Vale do Tejo,1D,37059114913
Oeste,1D1,15290340962
Alcobaça,1D11001,2449736609
Alenquer,1D11101,1932527224
Arruda dos Vinhos,1D11102,483142744
Bombarral,1D11005,598750152
Cadaval,1D11104,453580407
Caldas da Rainha,1D11006,2082211359
Lourinhã,1D11108,929757645
Nazaré,1D11011,415958208
Óbidos,1D11012,585751418
Peniche,1D11014,805897159
Sobral de Monte Agraço,1D11112,318038381
Torres Vedras,1D11113,4234989656
Médio Tejo,1D2,9194986802
Abrantes,1D21401,1333493363
Alcanena,1D21402,1991610593
Constância,1D21408,161396690
Entroncamento,1D21410,375090844
Ferreira do Zêzere,1D21411,437992721
Mação,1D21413,126874519
Ourém,1D21421,2031119195
Sardoal,1D21417,38860374
Tomar,1D21418,856311290
Torres Novas,1D21419,1754870899
Vila Nova da Barquinha,1D21420,87366314
Lezíria do Tejo,1D3,12573787149
Almeirim,1D31403,785110577
Alpiarça,1D31404,260229811
Azambuja,1D31103,3102855135
Benavente,1D31405,1896142511
Cartaxo,1D31406,755590905
Chamusca,1D31407,336678040
Coruche,1D31409,680024521
Golegã,1D31412,190372847
Rio Maior,1D31414,1059666423
Salvaterra de Magos,1D31415,567734505
Santarém,1D31416,2939381874
Grande Lisboa,1A,188866452414
Grande Lisboa,1A0,188866452414
Amadora,1A01115,6167544032
Cascais,1A01105,8816340898
Lisboa,1A01106,106088335691
Loures,1A01107,10493335071
Mafra,1A01109,3598687604
Odivelas,1A01116,3132418186
Oeiras,1A01110,27386064114
Sintra,1A01111,15936548196
Vila Franca de Xira,1A01114,7247178622
Península de Setúbal,1B,32910964347
Península de Setúbal,1B0,32910964347
Alcochete,1B01502,2095783587
Almada,1B01503,4138386899
Barreiro,1B01504,1684326691
Moita,1B01506,873132322
Montijo,1B01507,2026362318
Palmela,1B01508,9025712636
Seixal,1B01510,4430912073
Sesimbra,1B01511,931823845
Setúbal,1B01512,7704523976
Alentejo,1C,17211730927
Alentejo Litoral,1C1,4377061480
Alcácer do Sal,1C11501,366064984
Grândola,1C11505,505924600
Odemira,1C10211,1004034471
Santiago do Cacém,1C11509,821623554
Sines,1C11513,1679413871
Baixo Alentejo,1C2,4614086743
Aljustrel,1C20201,449478613
Almodôvar,1C20202,109555245
Alvito,1C20203,54823372
Barrancos,1C20204,43232376
Beja,1C20205,1779978354
Castro Verde,1C20206,545576125
Cuba,1C20207,71470514
Ferreira do Alentejo,1C20208,480624806
Mértola,1C20209,75148173
Moura,1C20210,357557360
Ourique,1C20212,105285303
Serpa,1C20213,438088356
Vidigueira,1C20214,103268146
Alto Alentejo,1C3,3285540632
Alter do Chão,1C31201,62954976
Arronches,1C31202,30251134
Avis,1C31203,89389451
Campo Maior,1C31204,621675266
Castelo de Vide,1C31205,47624115
Crato,1C31206,138946289
Elvas,1C31207,641382474
Fronteira,1C31208,58936828
Gavião,1C31209,37243103
Marvão,1C31210,26631270
Monforte,1C31211,62736614
Nisa,1C31212,75498222
Ponte de Sor,1C31213,361924697
Portalegre,1C31214,851452291
Sousel,1C31215,178893902
Alentejo Central,1C4,4935042072
Alandroal,1C40701,67131267
Arraiolos,1C40702,196704880
Borba,1C40703,116175848
Estremoz,1C40704,398521223
Évora,1C40705,2210133196
Montemor-o-Novo,1C40706,485206161
Mora,1C40707,118596078
Mourão,1C40708,39702952
Portel,1C40709,90959844
Redondo,1C40710,177503810
Reguengos de Monsaraz,1C40711,268782445
Vendas Novas,1C40712,451271714
Viana do Alentejo,1C40713,137318909
Vila Viçosa,1C40714,177033745
Algarve,15,18299631081
Algarve,150,18299631081
Albufeira,1500801,2605993524
Alcoutim,1500802,70320181
Aljezur,1500803,146994185
Castro Marim,1500804,148729341
Faro,1500805,3145810342
Lagoa,1500806,1082314165
Lagos,1500807,1158082989
Loulé,1500808,3771060548
Monchique,1500809,100047765
Olhão,1500810,1033582552
Portimão,1500811,2127442319
São Brás de Alportel,1500812,239375903
Silves,1500813,1190583341
Tavira,1500814,781249287
Vila do Bispo,1500815,214103212
Vila Real de Santo António,1500816,483941427
Região Autónoma dos Açores,2,7545009114
Região Autónoma dos Açores,20,7545009114
Região Autónoma dos Açores,200,7545009114
Angra do Heroísmo,2004301,982059191
Calheta (R.A.A.),2004501,75263261
Corvo,2004901,8406747
Horta,2004701,342836775
Lagoa (R.A.A.),2004201,336093799
Lajes das Flores,2004801,22935902
Lajes do Pico,2004601,52268857
Madalena,2004602,192305742
Nordeste,2004202,43892485
Ponta Delgada,2004203,3090037450
Povoação,2004204,90086630
Ribeira Grande,2004205,979228448
Santa Cruz da Graciosa,2004401,100978762
Santa Cruz das Flores,2004802,39447965
São Roque do Pico,2004603,79592643
Velas,2004502,178571385
Vila da Praia da Vitória,2004302,549254931
Vila do Porto,2004101,148619388
Vila Franca do Campo,2004206,233128753
Região Autónoma da Madeira,3,10440871705
Região Autónoma da Madeira,30,10440871705
Região Autónoma da Madeira,300,10440871705
Calheta (R.A.M.),3003101,371079105
Câmara de Lobos,3003102,421663840
Funchal,3003103,6960983331
Machico,3003104,750801788
Ponta do Sol,3003105,140321697
Porto Moniz,3003106,80252252
Ribeira Brava,3003107,196348988
Santa Cruz,3003108,1215538817
Santana,3003109,69161459
São Vicente,3003110,69477867
Porto Santo,3003201,165242561
